osmid,street_count,highway,ref,geometry,casino_osmid,casino_dist
1156771037,4,traffic_signals,,POINT (-77.0400293 -11.900941),4336173733,0.002860892004254745
1758293214,3,,,POINT (-77.1367633 -11.8420248),435198459,0.06482368603007017
1305701599,4,,,POINT (-77.0819595 -11.9559316),4366593002,0.010512262400170044
485616864,4,,,POINT (-77.0030984 -12.0908539),439197471,0.001036077071771565
2469883105,4,,,POINT (-77.1087201 -11.9680096),4366593002,0.024856956657040487
263122147,5,traffic_signals,,POINT (-77.046261 -12.0850849),436901625,0.007965048732781666
1156771044,4,traffic_signals,,POINT (-77.038978 -11.8924581),4336173733,0.005888941368361204
1746791646,4,,,POINT (-76.9715796 -12.0482713),560845933,0.008018380036704617
1359113445,3,,,POINT (-77.0983277 -11.9840213),4366593002,0.02286826866380511
817655015,3,,,POINT (-77.04966229999999 -12.0702334),436320564,0.0023800512106822375
1305701605,4,,,POINT (-77.08114209999999 -11.9621604),4366593002,0.0049536248798262
1273687273,3,,,POINT (-77.1135238 -12.0686802),435879639,0.016589224556170762
5744225509,3,,,POINT (-77.11791150000001 -11.9739684),4366593002,0.03485012966360945
1758293228,3,,,POINT (-77.13653069999999 -11.8424017),435198459,0.06446929986365972
1156771055,4,,,POINT (-77.04213059999999 -11.8945567),4336173733,0.005026635952600941
1359113458,4,,,POINT (-77.097809 -11.9841505),4366593002,0.022647116743858397
1345350898,3,,,POINT (-76.9888843 -11.9333351),437508602,0.014678099505213583
1345350903,3,,,POINT (-76.98905070000001 -11.9320033),437508602,0.01599529680078151
1359113466,3,,,POINT (-77.0974032 -11.9842575),4366593002,0.02248618624600581
1359113471,3,,,POINT (-77.09692769999999 -11.9843828),4366593002,0.02230612154386965
1345350912,3,,,POINT (-76.9888524 -11.9336637),437508602,0.01435678910777055
1993239811,4,,,POINT (-77.12984659999999 -12.024087),4368266233,0.05047861303363387
4442189061,4,,,POINT (-76.9455337 -12.1350465),437647280,0.028120399261779925
1758293254,3,,,POINT (-77.1363116 -11.8427763),435198459,0.06412943682157796
4357647622,3,,,POINT (-76.9809973 -12.0707439),3293687684,0.009616808053612546
4288572680,3,,,POINT (-77.03382999999999 -11.8568434),4155811689,0.029694657060489543
6381464841,4,,,POINT (-77.0411704 -12.1178928),183111783,0.004893912355252816
6381464842,3,,,POINT (-77.0411043 -12.117892),183111783,0.004831117829850322
6381464843,3,,,POINT (-77.03898700000001 -12.1179106),183111783,0.002876175477850264
4442189062,4,,,POINT (-76.94709570000001 -12.1364836),437647280,0.026107784950086386
4442189069,3,,,POINT (-76.9471509 -12.1363945),437647280,0.026160476987492902
1758293265,3,,,POINT (-77.1360868 -11.8431487),435198459,0.06378617276156989
1273687314,3,,,POINT (-76.896196 -12.0096312),438031676,0.06164739543737393
4826262803,4,,,POINT (-76.92047030000001 -12.244572),481692453,0.0356574167523988
1359113492,3,,,POINT (-77.0955805 -11.9847424),4366593002,0.021851946608252727
263384344,4,traffic_signals,,POINT (-77.0659488 -12.0899893),518155774,0.004766209037066087
1359113498,3,,,POINT (-77.09511980000001 -11.9848698),4366593002,0.02171880000598894
1345350939,3,,,POINT (-76.9889191 -11.9329845),437508602,0.015021585279359113
387411230,3,,,POINT (-77.0203132 -12.0978333),406255075,0.0018439989597982041
6996716831,4,,,POINT (-77.0698745 -12.0319013),4368266233,0.012095993572255445
1758293280,3,,,POINT (-77.13586119999999 -11.8435223),435198459,0.06344286248026591
6996716833,4,,,POINT (-77.06994589999999 -12.0318987),4368266233,0.01203841265367317
1359113504,3,,,POINT (-77.0940447 -11.9851769),4366593002,0.02145498102073225
