osmid,street_count,highway,ref,geometry,bank_osmid,bank_dist
817349146,4,traffic_signals,,POINT (-77.0068612 -11.9848601),437497390,0.002410920104440215
4337713692,3,,,POINT (-77.05158659999999 -12.0900526),4042420886,0.00046391797767618035
306758172,3,,,POINT (-77.1248339 -12.0551955),2725999757,0.028626467220732598
432030243,3,,,POINT (-77.12560379999999 -12.0552501),2725999757,0.029345491347894593
1674134052,3,,,POINT (-76.9561178 -12.1938519),514314001,0.0057074078358871055
2053915175,3,,,POINT (-77.0560528 -12.0556269),4332723152,0.002703982413024701
263111215,4,,,POINT (-77.0481592 -12.0882915),4042420888,0.0037395576663482315
263111216,4,,,POINT (-77.0481805 -12.0881743),4042420888,0.0037587906951495054
263111220,3,,,POINT (-77.04841690000001 -12.0865779),4042420888,0.004389638204898979
263111221,4,,,POINT (-77.0485846 -12.0854927),4042420888,0.005068872941785765
2886418998,3,,,POINT (-76.8753126 -12.2101065),4812594989,0.030709634850651254
2053915190,4,,,POINT (-77.0418615 -12.0562044),4213217990,0.00037052272535327557
2053915192,4,,,POINT (-77.04196210000001 -12.0562123),4213217990,0.0002837579954781452
2053915199,3,,,POINT (-77.0419983 -12.0567437),4213217990,0.0003929662071969461
6302941760,3,,,POINT (-77.05544500000001 -12.0199373),4422152801,0.006132771237377928
6302941761,3,,,POINT (-77.0555985 -12.0198112),4422152801,0.006317394143948749
2053915210,5,,,POINT (-77.05165460000001 -12.0570218),4336231305,0.0016192821032779028
2053915219,3,,,POINT (-77.0518142 -12.0572106),4336231305,0.0017922850359246973
2053915220,3,,,POINT (-77.0514838 -12.0571987),4336231305,0.001824916244654626
4508861020,4,,,POINT (-76.8608045 -12.2276512),437328294,0.04007043313145451
1295958621,4,,,POINT (-77.0596737 -11.9765376),439816917,0.0048487901238376385
817349216,4,,,POINT (-77.0031417 -11.985862),437497390,0.0045942433191182
674939489,4,traffic_signals,,POINT (-77.06255779999999 -12.0738312),4985787721,0.00226120877629842
1674134114,3,,,POINT (-76.9565072 -12.1940773),514314001,0.005368554521014288
817349220,4,,,POINT (-77.00182 -11.986391),437497390,0.005778250811353482
817349221,4,,,POINT (-77.0017538 -11.9864249),437497390,0.005839416659745435
817349223,4,,,POINT (-77.0030904 -11.9857437),437497390,0.0046781870566637365
4080321136,4,,,POINT (-77.1101511 -11.9943558),4806813122,0.03212182814349037
1273709169,4,,,POINT (-76.9499397 -12.0332097),4949862124,0.008574138913035894
1295958640,3,,,POINT (-77.0565047 -11.9658696),4346610928,0.001305295468463809
4080321139,4,,,POINT (-77.10686870000001 -11.9907554),4806813122,0.027440730761414827
1273545336,4,,,POINT (-77.1544152 -11.7575043),4347967864,0.061053228833372955
8121696897,4,,,POINT (-76.98965320000001 -12.1528807),438672383,0.00516964872019887
1273971331,4,,,POINT (-77.0502663 -11.9983379),807828774,0.0045704442148044085
1273840262,4,,,POINT (-76.9629711 -12.0483041),437882403,0.004529595347724534
1287275146,4,,,POINT (-77.0164635 -12.2042753),4422632522,0.008605846259960456
1836892811,4,traffic_signals,,POINT (-77.00370169999999 -12.1448217),561049822,0.00011321468546878586
1273709195,3,,,POINT (-76.9910435 -12.0331295),4916727221,0.010633815462950311
5497602700,4,,,POINT (-76.93559329999999 -12.1463629),7027416494,0.023003408478751285
459457168,3,,,POINT (-77.0195269 -12.1539925),4412506991,0.0026468789205390747
1295958672,4,,,POINT (-77.05952379999999 -11.9614314),436792154,0.005070875803359975
5497602712,3,,,POINT (-76.9366189 -12.1459417),7027416494,0.02241135270973334
1655095962,4,,,POINT (-76.9527983 -12.1919372),5025093630,0.006092281139280733
1287275163,3,,,POINT (-77.024052 -12.2023241),512156980,0.010277612532213458
5497602720,3,,,POINT (-76.93870750000001 -12.1442867),7027416494,0.021872724974264502
4367205024,1,,,POINT (-76.9682361 -12.0874385),4031854957,0.004485725236794009
4367205025,3,,,POINT (-76.967254 -12.087077),4031854957,0.005146555889139622
306758307,3,crossing,,POINT (-77.13862709999999 -12.0528742),2725999757,0.042522383630849085
1287275176,4,,,POINT (-77.0162778 -12.2070967),4749878327,0.010982008158800845
2053915304,4,,,POINT (-77.0589621 -12.061086),1863374533,0.0034888538533449733
674939563,4,,,POINT (-77.0624881 -12.0737063),4985787721,0.002182302034549517
1836892843,4,,,POINT (-76.9893398 -12.1867569),5800088411,0.011557698879102837
674939565,4,,,POINT (-77.0640008 -12.0721314),4985787721,0.0005675747439820014
1836892845,3,crossing,,POINT (-76.9891111 -12.1870125),5800088411,0.011842716886334391
1836892849,4,,,POINT (-76.9917282 -12.1876444),5800088411,0.009561130713989355
5735039675,3,,,POINT (-77.15320389999999 -11.8503744),4347967864,0.04154601209935778
392151740,3,,,POINT (-76.98940949999999 -12.1111296),438428105,0.0007669867885734873
499860162,3,,,POINT (-77.069183 -12.0580699),436790507,0.0033040789217140586
471614147,4,,,POINT (-76.9754425 -12.0696768),438440290,0.009745237150823568
471614148,4,,,POINT (-76.9755729 -12.069733),438440290,0.009679550111875745
8737538757,3,,,POINT (-76.9605445 -12.1587202),437625495,0.0030359757677583055
5579260614,3,,,POINT (-77.0624175 -12.000316),1863374473,0.003691086459295746
471614151,3,,,POINT (-76.98004450000001 -12.071525),438440290,0.008495445012584592
1273643720,4,,,POINT (-77.05410809999999 -12.056533),435668847,0.0024442424928052984
471614152,3,,,POINT (-76.9801901 -12.0715794),1302229319,0.008482560548562059
471614154,4,,,POINT (-76.9814832 -12.072071),1302229319,0.007140354557726035
471614155,4,,,POINT (-76.9816684 -12.0721163),1302229319,0.0069644253747161685
5579260618,3,,,POINT (-77.0620993 -12.0015961),4358104439,0.0034176602127770957
471614157,3,,,POINT (-76.9831959 -12.0721668),1302229319,0.005776075631432979
471614158,3,,,POINT (-76.98495 -12.07215),1302229319,0.0047277473970183306
471614160,3,,,POINT (-76.98588239999999 -12.0721416),1302229319,0.004358800331515285
4214132650,3,,,POINT (-77.0140849 -12.0918106),4464143979,0.004135697747658607
471614166,3,,,POINT (-76.98791900000001 -12.0723997),4799917524,0.0036561343369723915
3373843169,3,,,POINT (-77.05784610000001 -12.0078878),3604561616,0.0021816316943978355
4033757926,3,crossing,,POINT (-77.0260871 -12.0965736),3810243064,0.0007954412423317597
3736716006,4,,,POINT (-77.0754816 -12.025852),2737507587,0.008053883774308684
3736716009,5,,,POINT (-77.0753149 -12.025896),2737507587,0.00790549915059067
4214132655,3,,,POINT (-77.0139805 -12.0914967),4464143979,0.003919373293012237
1273676522,4,,,POINT (-76.95905999999999 -12.1249606),6933311385,0.015861448956831465
3736716012,5,,,POINT (-77.0752193 -12.0259343),2737507587,0.0078114398730355795
3736716015,3,,,POINT (-77.075575 -12.0259672),2737507587,0.00803961059069684
392151795,4,traffic_signals,,POINT (-76.9939844 -12.11114),437053684,0.002624778579660805
1836204790,3,,,POINT (-77.0717508 -12.0586958),436790507,0.004553993173553289
3736716027,4,,,POINT (-77.07566009999999 -12.0262891),2737507587,0.00788241714767525
4348953340,3,,,POINT (-77.00823509999999 -12.1123286),437356499,0.004943386822637796
3736716029,4,,,POINT (-77.0755253 -12.0264471),2737507587,0.0076766069490356225
4041917180,3,,,POINT (-77.12836660000001 -12.0589068),2725999757,0.031217702850147678
3736716030,4,,,POINT (-77.07526470000001 -12.0264666),2737507587,0.007470785652132206
3736716034,4,,,POINT (-77.0754426 -12.0264789),2737507587,0.007593777141848299
3725509380,3,,,POINT (-77.0129534 -12.1753261),4952777521,0.002266996360826084
4334666500,4,,,POINT (-77.0215772 -11.88066),435682276,0.002704520361220912
3736716043,3,,,POINT (-77.0577454 -12.028156),1426619963,0.0003517538343839443
3736716044,3,,,POINT (-77.0576746 -12.0281952),1426619963,0.00033726577057626957
3736716045,4,,,POINT (-77.0584114 -12.0283997),1426619963,0.0010403298755712537
4334666509,4,,,POINT (-77.0234683 -11.8818539),435682276,0.004925457211378548
3736716047,3,,,POINT (-77.0574553 -12.0285997),1863374490,0.0006403357322528576
3736716048,3,,,POINT (-77.0574663 -12.0287015),1863374490,0.0007422410188084068
2055553809,3,,,POINT (-77.065664 -12.067711),435836272,0.004445966234329735
3736716052,4,traffic_signals,,POINT (-77.0765644 -12.0292772),438659447,0.0061739825310212736
1663845142,4,,,POINT (-76.9305351 -12.2235522),436951140,0.010762726830038611
822493974,4,,,POINT (-77.0061414 -12.0061412),4351692398,0.0006060332829168794
3736716056,4,traffic_signals,,POINT (-77.0766078 -12.029399),438659447,0.006098352855481732
639091478,3,,,POINT (-77.0706758 -12.0819159),435713315,0.00437505573022157
1287275287,3,,,POINT (-77.02463109999999 -12.2030904),512156980,0.011216269589852728
1663845147,4,,,POINT (-76.9281718 -12.2221785),4103814916,0.011027702194475691
3736716055,4,traffic_signals,,POINT (-77.0767184 -12.029394),438659447,0.005993328800816003
