osmid,street_count,highway,ref,geometry,marketplace_osmid,marketplace_dist
1368673105,3,,,POINT (-77.006534 -12.0501341),443670842,0.0008798296686320841
5191617365,3,,,POINT (-77.11796219999999 -11.9797348),605381902,0.005872549854245442
670387032,4,,,POINT (-77.06650879999999 -12.0724506),819611568,0.0069817909512425655
442944347,3,,,POINT (-77.1081849 -12.0600733),628151964,0.021436059723359675
1745996638,3,,,POINT (-76.8917524 -12.0321975),818126823,0.0016883807730922395
1368673119,4,,,POINT (-77.00794070000001 -12.0504269),443670842,0.0011628900049053372
4277160802,4,,,POINT (-77.0037607 -11.9782587),585046043,0.0012442652824007363
5191617378,3,,,POINT (-77.1159084 -11.9796123),605381902,0.005237306007678176
1575897958,3,,,POINT (-76.8926754 -12.0215056),483787312,0.004361443007734985
1368673126,4,,,POINT (-77.0060502 -12.0505242),443670842,0.0009402504949527428
440191849,3,,,POINT (-77.000303 -12.1273197),5022333822,0.0029686455716395168
440191850,3,,,POINT (-77.00004610000001 -12.126656),5022333822,0.0032501664403568062
1745996650,3,,,POINT (-76.8881679 -12.0334018),818126823,0.003370559628527512
1273842537,3,,,POINT (-76.9515806 -12.1520204),447613853,0.0014506067682284408
263113585,3,,,POINT (-77.03234019999999 -12.0914318),401494450,0.005024883387641394
263113588,4,,,POINT (-77.03242779999999 -12.0908525),401494450,0.004441870732700788
263113589,4,,,POINT (-77.03248480000001 -12.0904479),401494450,0.004035315781080596
263113590,4,,,POINT (-77.0325998 -12.0896213),401494450,0.0032063462812717976
263113591,4,traffic_signals,,POINT (-77.0327115 -12.0889338),401494450,0.0025201814905300014
263113592,4,traffic_signals,,POINT (-77.0328505 -12.0878586),401494450,0.0014608594556000931
263113593,4,traffic_signals,,POINT (-77.03300059999999 -12.0867686),401494450,0.0005149395176335818
392153976,4,,,POINT (-77.0096659 -12.0936622),809963632,0.010433277872887113
1745996665,3,,,POINT (-76.8913297 -12.0361989),818126823,0.005242830900149452
1368673141,4,,,POINT (-77.00570020000001 -12.0508113),443670842,0.0012016441899429277
1368673149,4,,,POINT (-77.00537540000001 -12.0509391),443670842,0.0015199262082422182
5191617404,4,,,POINT (-77.11235840000001 -11.9775769),605420579,0.0035561881332936136
1809566599,3,,,POINT (-76.97342 -12.1901403),372285785,0.0023110338832140888
1368673163,4,,,POINT (-77.005028 -12.0510942),443670842,0.0018739866528525429
1745996684,3,,,POINT (-76.89298650000001 -12.0419137),818126823,0.011168520287189171
8231209872,3,,,POINT (-77.0881787 -11.9323193),833091254,0.0031886806115287315
1368673184,4,,,POINT (-77.0039816 -12.0516044),443670860,0.0026539516470793236
1368673185,3,,,POINT (-77.0043223 -12.0514443),443670842,0.002622689775399576
1368673187,3,,,POINT (-77.0077524 -12.0515058),443670842,0.0010290264690270474
392154024,4,,,POINT (-77.0083344 -12.0912361),809963632,0.0076669114222070065
1368673193,4,,,POINT (-77.01055890000001 -12.0515713),460120641,0.0016388605360892652
