osmid,street_count,highway,ref,geometry,courthouse_osmid,courthouse_dist,courthouse_nearestnode
2177247252,3,,,POINT (-76.979981 -12.0407463),437855139,0.0021554752651367325,1577564129
5718485021,3,,,POINT (-76.9312783 -12.0828753),3949420739,0.03419618300336924,471054865
5718485024,3,,,POINT (-76.9367615 -12.0829299),3949420739,0.028972300148243525,471054865
9251694629,3,,,POINT (-76.99676340000001 -12.1998071),6695199631,0.04444587655847062,1405153097
5718485030,4,,,POINT (-76.9447818 -12.107787),3949420739,0.03928683402388155,471054865
5718485032,4,,,POINT (-76.9447122 -12.1078344),3949420739,0.039362460709921665,471054865
4932675632,3,,,POINT (-76.8771684 -12.2816826),5364271522,0.028426338306927517,5946942281
9251694641,3,,,POINT (-76.995677 -12.2009029),6695199631,0.043351853859440785,1405153097
9251694642,3,,,POINT (-76.9965959 -12.1999732),6695199631,0.0442755018556594,1405153097
1273767984,4,,,POINT (-76.955568 -12.0351044),439195372,0.007855216720742712,4356156394
2166859825,3,,,POINT (-76.92231750000001 -12.1860424),5145408791,0.03335925056606346,4519916254
1452746800,4,,,POINT (-77.07398329999999 -12.0497576),465071802,0.02072548898682396,6302726030
4932675639,4,,,POINT (-76.87628719999999 -12.2801999),5364271522,0.02748929674418937,5946942281
4354680887,3,,,POINT (-76.9309808 -12.2016725),5145408791,0.02128207215592025,4519916254
4932675646,3,,,POINT (-76.8770756 -12.2814181),5364271522,0.02822616537912996,5946942281
4932675652,3,,,POINT (-76.8772281 -12.2813081),5364271522,0.02806170055003898,5946942281
4932675656,3,,,POINT (-76.8774251 -12.2816187),5364271522,0.028261058308563007,5946942281
4932675657,3,,,POINT (-76.8772553 -12.2817032),5364271522,0.028408574236838367,5946942281
1452746825,4,,,POINT (-77.07393690000001 -12.0505621),465071802,0.02152364712267187,6302726030
1299523660,3,,,POINT (-76.8486308 -12.2228524),5364271522,0.05227490040640998,5946942281
1452746829,4,,,POINT (-77.07388589999999 -12.051231),465071802,0.02218678367406821,6302726030
2145101902,4,,,POINT (-76.8953624 -12.0175749),438029702,0.04747981776168248,1577492164
309373005,5,,,POINT (-77.1303788 -12.0604094),465071802,0.06601310268719633,6302726030
5497530448,3,,,POINT (-76.8192852 -11.980813),487183431,0.04863155985754908,1524458694
5497530449,3,,,POINT (-76.82142570000001 -11.9843297),487183431,0.051209512165721616,1524458694
5497530452,3,,,POINT (-76.82872829999999 -11.9834958),487183431,0.05831697044803316,1524458694
4263651409,3,,,POINT (-77.0685591 -12.045821),465071802,0.017122149253428462,6302726030
4932675670,3,,,POINT (-76.8796279 -12.2850047),5364271522,0.030620131031723525,5946942281
1837869142,3,,,POINT (-76.9974414 -12.1343012),437675773,0.03951938730124089,2658903287
4932675672,3,,,POINT (-76.879541 -12.2850555),5364271522,0.030695475934572624,5946942281
818620497,4,,,POINT (-77.052959 -12.0192771),808969919,0.021244018343790774,842510801
4932675674,3,,,POINT (-76.87950600000001 -12.2851723),5364271522,0.030817363737506882,5946942281
263104604,3,,,POINT (-77.0218114 -12.0972914),437675773,0.005208758804646888,2658903287
263104607,4,traffic_signals,,POINT (-77.0247607 -12.0968909),437675773,0.006804209595899289,2658903287
5497530464,3,,,POINT (-76.8334277 -11.9857218),487183431,0.06328156166945545,1524458694
5497530465,3,,,POINT (-76.8338581 -11.9858931),487183431,0.06373310690553073,1524458694
1767549029,4,,,POINT (-77.1450332 -11.8472126),679438717,0.1286469642501545,4335734843
9251694694,3,,,POINT (-76.9811299 -12.2158613),6695199631,0.03256700460681214,1405153097
818620518,4,,,POINT (-77.0533768 -12.0189291),808969919,0.020818606800403414,842510801
1452746857,3,,,POINT (-77.0739238 -12.0518456),465071802,0.0228025099975746,6302726030
2687314028,4,,,POINT (-77.0615978 -11.8639998),679438717,0.04409557068465756,4335734843
9251694702,3,,,POINT (-76.9809295 -12.2157069),6695199631,0.03231774166151313,1405153097
607234158,3,,,POINT (-77.0950318 -12.0810031),465071802,0.05667495384320479,6302726030
273426546,4,,,POINT (-77.07282050000001 -11.9600893),301604752,0.031674940814549066,842490892
9251694707,3,,,POINT (-76.9808226 -12.2158786),6695199631,0.032303673485842864,1405153097
607234166,3,,,POINT (-77.0952298 -12.0814321),5527853721,0.056828956107428,259996518
9251694712,4,,,POINT (-76.9809468 -12.2160007),6695199631,0.03247077870655506,1405153097
4932675708,3,,,POINT (-76.87746 -12.2815323),5364271522,0.028167963719977818,5946942281
3265079427,4,,,POINT (-77.0960559 -12.0531415),465071802,0.03382325327732496,6302726030
3811321991,3,,,POINT (-77.01638130000001 -12.1060565),437675773,0.00570704964802581,2658903287
1760798857,3,,,POINT (-77.12789119999999 -11.8690671),679438717,0.1076616967424936,4335734843
5497530503,3,,,POINT (-76.8410603 -11.9957894),487183431,0.07288954476108593,1524458694
273426573,3,,,POINT (-77.0725128 -11.9619818),301604752,0.029833161047761295,842490892
4286720141,4,,,POINT (-76.8965118 -11.9723853),438029702,0.07473852813643178,1577492164
4286720159,4,,,POINT (-76.8971672 -11.9741839),438029702,0.07289863651050081,1577492164
1273768097,3,,,POINT (-76.8738285 -12.1042987),3949420739,0.09543422375856504,471054865
3430394018,4,,,POINT (-77.1388721 -11.8376238),679438717,0.1256861258247302,4335734843
1657677987,4,,,POINT (-76.9390233 -12.2148826),5145408791,0.01932981321093936,4519916254
3626018979,3,,,POINT (-76.9589266 -12.0521903),439195372,0.010756878246031295,4356156394
108177573,3,traffic_signals,,POINT (-77.0289554 -12.1194382),437675773,0.01891517678915146,2658903287
1344415907,4,,,POINT (-76.9894961 -11.938531),437868020,0.032785308886034675,824299551
4080347306,4,,,POINT (-77.1055259 -11.9890721),301604752,0.046035106009223184,842490892
4080347307,4,,,POINT (-77.10565750000001 -11.9890127),301604752,0.04616642209785358,842490892
108177584,4,traffic_signals,,POINT (-77.0292257 -12.1169466),437675773,0.016839059113407252,2658903287
566536373,4,,,POINT (-77.0661513 -12.0363492),465071802,0.009477502595892941,6302726030
108177590,4,traffic_signals,,POINT (-77.0297793 -12.113698),437675773,0.01446472246829666,2658903287
1767549118,3,,,POINT (-77.15207959999999 -11.8477185),679438717,0.13533440651585107,4335734843
263399617,4,,,POINT (-77.0434644 -12.0738201),4469386913,0.011457520726582196,108064627
263399619,4,,,POINT (-77.0434502 -12.0715954),4469386913,0.012957293307242362,108064627
1273833668,3,,,POINT (-76.9449372 -12.1997481),5145408791,0.007379671036703351,4519916254
1658431690,4,,,POINT (-77.1546345 -11.7848658),679438717,0.16467831901594662,4335734843
1452746955,4,,,POINT (-77.0742156 -12.0526938),465071802,0.02367084067360793,6302726030
4286720202,4,,,POINT (-76.90275579999999 -11.978293),438029702,0.0663126520369267,1577492164
1658431693,3,,,POINT (-77.1584871 -11.7837636),679438717,0.1684557816328687,4335734843
133933273,4,traffic_signals,,POINT (-77.0247222 -12.1220882),437675773,0.020091192926378284,2658903287
4198115548,3,,,POINT (-76.99160070000001 -12.1688251),408686631,0.038618348649400745,1715696609
1273833695,4,,,POINT (-76.87382959999999 -12.2760339),5364271522,0.025292827814424438,5946942281
4286720231,4,,,POINT (-76.89882489999999 -11.98406),438029702,0.0641126067542863,1577492164
4286720233,4,,,POINT (-76.8959124 -11.9860587),438029702,0.06456665666752696,1577492164
1826728172,3,,,POINT (-76.9200731 -12.0359803),438029702,0.02042724620751785,1577492164
4040993009,3,,,POINT (-77.017644 -12.1910298),6695199631,0.06602499887346408,1405153097
5466564852,4,,,POINT (-76.9837634 -12.0685402),4818433021,0.010140057420942443,2887449500
1344415990,4,,,POINT (-76.9891674 -11.9453312),437868020,0.02652018093046786,824299551
5446412537,3,,,POINT (-76.9023079 -12.2150508),458599264,0.022345177656004776,1754073173
1273866490,3,,,POINT (-76.9263363 -12.2071377),5145408791,0.026676288622288533,4519916254
1833609466,3,,,POINT (-76.9761183 -12.0242475),437855139,0.01794438189609786,1577564129
1710500095,4,,,POINT (-76.92581010000001 -12.2314072),458599264,0.015975997896375015,1754073173
7501883649,3,,,POINT (-77.03229020000001 -11.8602228),679438717,0.023648973143898886,4335734843
309373193,3,,,POINT (-77.13377079999999 -12.0610955),465071802,0.06933206649432043,6302726030
1833609489,3,,,POINT (-76.962068 -12.0302258),439195372,0.011440618254713531,4356156394
316811538,4,,,POINT (-77.05945079999999 -12.0481021),3965041957,0.021503647714967555,888357854
1273538844,4,,,POINT (-76.96484940000001 -12.0508428),439195372,0.010467489621214144,4356156394
1710500139,4,,,POINT (-76.92311599999999 -12.2359304),458599264,0.012650861649034973,1754073173
1710500142,4,,,POINT (-76.92305210000001 -12.236043),458599264,0.012588152130542709,1754073173
475736371,4,,,POINT (-77.0211005 -12.0951357),437675773,0.007264692059886941,2658903287
1344416051,3,,,POINT (-76.9853839 -11.9421634),437868020,0.03099582635151478,824299551
5497465142,3,,,POINT (-76.8107445 -12.0220808),487183431,0.06086199010847621,1524458694
1452747066,4,,,POINT (-77.075163 -12.0553337),465071802,0.026389951596028336,6302726030
475736384,4,,,POINT (-77.018371 -12.096871),437675773,0.00601460950395198,2658903287
273426755,3,,,POINT (-77.07210360000001 -11.9632689),301604752,0.02849718758511645,842490892
1273899340,4,,,POINT (-76.8944192 -12.0219099),438029702,0.047172787379759086,1577492164
4031457619,4,traffic_signals,,POINT (-76.92484469999999 -12.0804993),3949420739,0.0399519170784151,471054865
4031457622,3,,,POINT (-76.9252322 -12.0805766),3949420739,0.03958371395536795,471054865
316811612,4,,,POINT (-77.0617116 -12.0541022),3965041957,0.024119678117658614,888357854
2833197405,5,,,POINT (-77.0194247 -12.1678903),5527853721,0.06257191319313954,259996518
1815030110,4,,,POINT (-77.0443834 -11.8908636),679438717,0.025506560568406708,4335734843
316811616,4,,,POINT (-77.0615817 -12.0564378),3965041957,0.024531744803211592,888357854
316811617,3,,,POINT (-77.06154669999999 -12.0565957),3965041957,0.024542241169041485,888357854
316811619,3,,,POINT (-77.06141959999999 -12.0565696),3965041957,0.02441294710147401,888357854
1344416101,3,,,POINT (-77.0001798 -11.9415525),437868020,0.02819853463128823,824299551
1760799082,4,,,POINT (-77.138847 -11.8721954),679438717,0.11828448605695566,4335734843
108013931,4,,,POINT (-77.03778869999999 -12.0998514),5527853721,0.015238741165860343,259996518
5497465195,3,,,POINT (-76.8111246 -12.021458),487183431,0.06064427683296539,1524458694
1452747117,4,,,POINT (-77.07578820000001 -12.0583178),465071802,0.029426167102672717,6302726030
1273506158,3,,,POINT (-76.9870542 -12.0422402),437855139,0.008782370605207613,1577564129
5497465200,3,,,POINT (-76.8111846 -12.0212937),487183431,0.0605613687209759,1524458694
108013938,3,,,POINT (-77.038957 -12.1045786),5527853721,0.010985867314419449,259996518
108013939,3,,,POINT (-77.03898820000001 -12.104828),5527853721,0.010799158384331757,259996518
108013940,4,,,POINT (-77.0390943 -12.1056627),5527853721,0.010193160377916968,259996518
4548634997,3,,,POINT (-76.9681484 -12.2106561),6695199631,0.018713116962446676,1405153097
846736999,4,,,POINT (-77.0924954 -12.0281193),465071802,0.020258428812973562,6302726030
4548635000,3,,,POINT (-76.96834680000001 -12.2116441),6695199631,0.01942208715587153,1405153097
1452747128,4,traffic_signals,,POINT (-77.075598 -12.0592967),465071802,0.030376752779006463,6302726030
1767549314,3,,,POINT (-77.14579980000001 -11.8484203),679438717,0.1290773541949681,4335734843
301457943,4,,,POINT (-77.0278789 -12.0319448),6219202486,0.019250955411096213,4037228453
1814997387,4,,,POINT (-77.03178440000001 -11.8988249),679438717,0.020943292802861464,4335734843
4365101456,3,,,POINT (-76.9437319 -12.108646),3949420739,0.04055547744324993,471054865
4365101467,3,,,POINT (-76.947839 -12.1041422),3949420739,0.034617810660121096,471054865
1273702812,4,,,POINT (-76.9749822 -12.1100446),4818433021,0.034335553976891184,2887449500
9495882149,4,,,POINT (-77.0977759 -11.9585846),301604752,0.048785987657039113,842490892
9495882150,4,,,POINT (-77.0981146 -11.958229),301604752,0.04927223710838252,842490892
3555076517,3,,,POINT (-77.07848540000001 -11.8463781),679438717,0.06717309142114491,4335734843
1760799144,3,,,POINT (-77.13778309999999 -11.8734598),679438717,0.11713598371156166,4335734843
6290549161,3,,,POINT (-77.0583377 -11.9975886),808969919,0.0012934599674805328,842510801
1815030188,4,,,POINT (-77.0390288 -11.892703),679438717,0.021621955639810512,4335734843
1344416172,4,,,POINT (-76.9876333 -11.9406621),437868020,0.03142024712210835,824299551
9495882163,3,,,POINT (-77.1006565 -11.955863),301604752,0.0527345877373149,842490892
1767549365,4,,,POINT (-77.1461553 -11.8486449),679438717,0.1293651640137149,4335734843
9495882168,4,,,POINT (-77.0970602 -11.9592704),301604752,0.047799367116568924,842490892
6290549176,3,,,POINT (-77.0582903 -11.9978989),808969919,0.0010556742360306132,842510801
1931880891,3,,,POINT (-77.1249688 -12.0385014),465071802,0.05353911404026579,6302726030
1760799165,3,,,POINT (-77.1374246 -11.8738712),679438717,0.1167525857147246,4335734843
1273866691,4,,,POINT (-76.9307888 -12.0407392),438029702,0.012263765683352705,1577492164
702884293,4,traffic_signals,,POINT (-76.9847 -12.1401722),408686631,0.03593496702788989,1715696609
1815030215,4,,,POINT (-77.0479608 -11.8965085),679438717,0.03123130754646176,4335734843
1815030217,4,,,POINT (-77.04562079999999 -11.8979286),679438717,0.030006567402523592,4335734843
1815030228,3,,,POINT (-77.04305340000001 -11.8993022),679438717,0.02878428448558045,4335734843
309373398,5,,,POINT (-77.1325192 -12.061579),465071802,0.06845217400106886,6302726030
1273637339,3,,,POINT (-77.04758579999999 -12.0839603),4469386913,0.013387492634537014,108064627
4331448804,3,,,POINT (-77.0671835 -11.9705057),301604752,0.01986704030024716,842490892
817474022,3,,,POINT (-77.0035108 -11.9671181),437868020,0.004769604331965782,824299551
1760799208,3,,,POINT (-77.1365529 -11.8749121),679438717,0.1158236578933218,4335734843
838085096,3,,,POINT (-77.1263122 -12.0469882),465071802,0.056933240011461175,6302726030
4216695272,3,,,POINT (-77.1331685 -12.0610983),465071802,0.06879958251648849,6302726030
1569008107,3,,,POINT (-77.0986891 -11.9551287),301604752,0.05168922348206896,842490892
4395575784,4,,,POINT (-76.9820608 -12.1965778),6695199631,0.03001455970025443,1405153097
847620590,4,,,POINT (-77.0938629 -12.029544),465071802,0.02160647711993335,6302726030
847620592,3,,,POINT (-77.0936566 -12.0290836),465071802,0.021395702079815032,6302726030
