osmid,street_count,highway,ref,geometry,university_osmid,university_dist
3301305062,4,,,POINT (-76.8246876 -12.008077),701396579,0.02441750957054741
4288572134,4,,,POINT (-77.0533471 -11.8368257),621763280,0.0977391106298059
842885864,3,,,POINT (-77.0625122 -12.0011697),70650383,0.0017436865024819735
331606760,3,,,POINT (-76.8462763 -12.0055739),701396579,0.01679828812314973
2885872360,3,,,POINT (-76.7267537 -11.9515399),451647230,0.02633359442287006
701688556,4,,,POINT (-77.0672148 -12.0576613),4431450131,0.008533827598445246
1273785068,4,,,POINT (-76.8746775 -12.0030962),439916826,0.02053913912052685
3235605230,4,,,POINT (-77.0322109 -12.0388198),4763488127,0.008982911165649206
1814194927,4,,,POINT (-77.0196849 -11.8711638),285827604,0.054467657754384155
1573382897,3,,,POINT (-76.9673579 -12.1696154),512632035,0.023749087009821816
1573382898,4,,,POINT (-76.9667022 -12.1758939),582726127,0.018625806562741078
4073777906,3,traffic_signals,,POINT (-77.03461660000001 -12.1278714),154964541,0.00818796537892812
3235605231,4,,,POINT (-77.0577117 -12.0080196),2699376371,0.0024361047801776865
3235605229,3,,,POINT (-77.0553699 -12.0123888),2699376371,0.007374378038857307
3235605232,4,,,POINT (-77.0575462 -12.0087518),2699376371,0.0031828236913146704
1342139122,3,,,POINT (-76.9959451 -11.9668597),119562231,0.014967466412114027
1814194937,4,,,POINT (-77.01927619999999 -11.8714083),285827604,0.054011529649141216
442362621,4,,,POINT (-77.1072858 -12.057066),4715723427,0.022150862142137483
1273686782,3,,,POINT (-76.99493440000001 -12.0730347),437981876,0.0070050979641910925
1814194945,3,,,POINT (-77.0188643 -11.8716529),285827604,0.05355352934115829
1573382920,3,,,POINT (-76.9616882 -12.1643539),512632035,0.020361839377137102
7567371017,3,,,POINT (-77.1397771 -12.0523325),418674556,0.05207255657874423
6295186188,4,,,POINT (-77.02358580000001 -11.8740576),285827604,0.05517869997981744
1814194964,4,,,POINT (-77.01796969999999 -11.8721844),285827604,0.0525599063214842
817752861,4,,,POINT (-77.0084674 -11.9900936),437682201,0.0062963911252740465
1305701150,4,,,POINT (-77.0830746 -11.9621383),405584319,0.015503354336016583
1870228256,4,,,POINT (-77.05297729999999 -12.0108833),2699376371,0.007575685947162818
627796770,3,,,POINT (-77.1166364 -12.0673769),418674556,0.024730563010448407
1404136232,4,,,POINT (-76.93750439999999 -12.2119868),126861408,0.005286263662466871
1758292783,4,,,POINT (-77.1311621 -11.8310194),621763280,0.1263945616046806
1305701171,4,,,POINT (-77.0812631 -11.9621209),405584319,0.013718702822276488
1758292792,4,,,POINT (-77.13773430000001 -11.8313876),621763280,0.12999251927259306
1305701177,3,,,POINT (-77.06407799999999 -11.9887658),447320266,0.0032937924972113574
4332972862,4,traffic_signals,,POINT (-77.0393926 -12.0644825),4115579257,0.0020434150948812095
4348865342,3,,,POINT (-76.988784 -12.1109833),438435174,0.0025261150928944306
1758292798,4,,,POINT (-77.13191190000001 -11.8316561),621763280,0.1263085752136755
1758292804,4,,,POINT (-77.13776300000001 -11.8318441),621763280,0.12964850857403226
1573382981,4,,,POINT (-76.9670156 -12.1746876),582726127,0.01972374580581249
5056686922,3,,,POINT (-77.0730288 -11.9652402),405584319,0.007775008811175308
1814195019,4,,,POINT (-77.015792 -11.8733859),285827604,0.05021885725529739
1758292819,4,,,POINT (-77.1377777 -11.832255),621763280,0.12933263619156737
1305701205,3,,,POINT (-77.0566039 -11.9356281),621763280,0.0022307545833613975
1758292822,4,,,POINT (-77.1326971 -11.8323229),621763280,0.12622665138235056
1814195032,4,,,POINT (-77.01565220000001 -11.873469),285827604,0.050064537027407784
8759077723,3,,,POINT (-76.8658956 -12.1648977),488970172,0.07007632314431954
1305701215,3,,,POINT (-77.0601005 -11.9561753),405584317,0.007272680708469246
1814195041,4,,,POINT (-77.0155795 -11.8736015),285827604,0.04991676574856505
108030818,3,traffic_signals,,POINT (-77.0381148 -12.1008318),295177769,0.006218197061762878
1305701219,3,,,POINT (-77.0604422 -11.9433343),621763280,0.0091171182925294
1758292836,4,,,POINT (-77.13780149999999 -11.8326279),621763280,0.12905286847867642
1758292837,4,,,POINT (-77.13337559999999 -11.8326609),621763280,0.12635435590024904
8105847653,3,,,POINT (-77.0021843 -11.9571423),119562231,0.015045317862655026
108030823,3,traffic_signals,,POINT (-77.03840510000001 -12.1018051),295177769,0.0063267318014225615
1758292838,4,,,POINT (-77.1283911 -11.8326824),621763280,0.12344760979746822
462973799,3,,,POINT (-77.0825822 -12.0782559),4464208125,0.005180979355297202
1753049962,3,,,POINT (-76.95596399999999 -12.1617641),512632035,0.02151706008033222
1305701230,3,,,POINT (-77.0828571 -11.9760015),590276717,0.01833660919314341
1758292850,4,,,POINT (-77.13453610000001 -11.8329804),621763280,0.12678983416262624
1305701235,4,,,POINT (-77.0926623 -11.9779306),590276717,0.028304210931135634
1758292852,4,,,POINT (-77.13782550000001 -11.8330147),621763280,0.12876275233807763
378301302,4,traffic_signals,,POINT (-77.0644987 -12.0772594),412573932,0.00796645776320988
1753049978,3,,,POINT (-76.955063 -12.1629334),512632035,0.022986420655914615
1758292860,4,,,POINT (-77.1353818 -11.8332154),621763280,0.12711169697458582
7061138305,4,motorway_junction,F1,POINT (-76.82064509999999 -12.3337482),445592484,0.10431893929863566
1758292872,4,,,POINT (-77.1378524 -11.8333887),621763280,0.12848500730472764
1758292876,4,,,POINT (-77.136883 -11.8335836),621763280,0.12773453838087848
1758292877,4,,,POINT (-77.1354256 -11.8336517),621763280,0.12679113672497283
4348865422,3,,,POINT (-76.9918325 -12.1140828),438435174,0.0034282806641961223
629271438,4,,,POINT (-77.1281774 -12.0590222),418674556,0.038697133900016285
1273785231,3,,,POINT (-76.952641 -12.078359),400674316,0.0021390241173069612
1836968850,4,,,POINT (-76.97676389999999 -12.1663392),512632035,0.02111619811423609
1758292883,4,,,POINT (-77.1379153 -11.83383),621763280,0.12817722663886236
1305701266,3,,,POINT (-77.05207299999999 -11.9251296),621763280,0.011296446344503074
1758292888,4,,,POINT (-77.13545379999999 -11.8340236),621763280,0.12651289358404771
1305701275,3,,,POINT (-77.06039579999999 -11.9431334),621763280,0.008910941618517288
1836968862,4,,,POINT (-76.99541979999999 -12.1772498),437330220,0.022334289085579172
1305701278,3,,,POINT (-77.0552582 -11.9646438),405584317,0.010703438320955055
1305701279,4,,,POINT (-77.08095849999999 -11.9616909),405584319,0.013342144683944533
1305701282,4,,,POINT (-77.0830586 -11.9764749),590276717,0.018592206192157377
5401340834,4,,,POINT (-76.69077729999999 -11.9301088),451647230,0.019809402996900326
1758292900,4,,,POINT (-77.1354831 -11.8344096),621763280,0.12622463694995212
1753050022,3,,,POINT (-76.9582286 -12.1641),512632035,0.02190613557637293
4168510377,3,,,POINT (-76.9955188 -12.0711645),437981876,0.00847314311099441
1573383081,4,,,POINT (-76.9654069 -12.1722619),582726127,0.022469457422035995
1758292907,4,,,POINT (-77.13805259999999 -11.8345622),621763280,0.12768887860120245
1573383085,4,,,POINT (-76.96805019999999 -12.1707379),582726127,0.023421607521990295
1870228398,3,,,POINT (-77.04818589999999 -12.024988),12280616,0.005997828239289385
1305701300,3,,,POINT (-77.0598105 -11.9544561),220415161,0.008507159914483328
1753050039,3,,,POINT (-76.9538879 -12.1644503),512632035,0.024898011364176017
1758292923,3,,,POINT (-77.1381341 -11.8349424),621763280,0.12744265830867377
1753050048,3,,,POINT (-76.95716470000001 -12.164773),512632035,0.023070922187902753
1870228417,3,,,POINT (-77.044529 -12.0283525),12280616,0.010207132807250769
1758292931,4,,,POINT (-77.13552300000001 -11.8351693),621763280,0.1256479671834921
1753050052,3,,,POINT (-76.9530889 -12.1654742),512632035,0.026192836058752514
5497613250,3,,,POINT (-76.94641559999999 -12.138499),512632035,0.02546898797540124
5497613253,3,,,POINT (-76.9473587 -12.1394023),512632035,0.024306076849443324
6534556617,4,,,POINT (-76.8376325 -12.3090637),445592484,0.07509065385919748
5497613249,3,,,POINT (-76.9457724 -12.1378743),512632035,0.026272516482840073
6534556619,4,,,POINT (-76.837287 -12.3094311),445592484,0.07555255231933268
817654731,4,,,POINT (-77.051237 -12.067333),326855710,0.002159793298357916
1273523149,4,,,POINT (-76.999746 -12.0284959),181375025,0.008571886630868424
3501026254,4,,,POINT (-77.06963020000001 -12.0055447),70650383,0.007833225765877068
