u,v,key,osmid,oneway,lanes,highway,maxspeed,length,geometry,name,bridge,ref,tunnel,junction,access
316624764,4022580203,0,279914555,True,2,primary,60,44.522999999999996,"LINESTRING (-77.00346260000001 -12.0882818, -77.00337519999999 -12.0882684, -77.00307789999999 -12.0882226, -77.0030581 -12.0882195)",Avenida Javier Prado Este,,,,,
316625042,263933850,0,34113599,True,2,secondary,40,171.517,"LINESTRING (-77.00915449999999 -12.0998651, -77.0093352 -12.0997349, -77.0094655 -12.0996539, -77.00958110000001 -12.099586, -77.009736 -12.099525, -77.00977330000001 -12.0995157, -77.01000089999999 -12.0994588, -77.0101439 -12.0994421, -77.010237 -12.0994369, -77.0104778 -12.0994463, -77.0105636 -12.0994483, -77.0106229 -12.0994497)",Avenida San Borja Sur,,,,,
316625042,316625044,0,339497470,True,2,secondary,60,71.333,"LINESTRING (-77.00915449999999 -12.0998651, -77.00939510000001 -12.0995103, -77.0095089 -12.0993254)",Avenida San Borja Sur,,,,,
316625044,412554299,0,35173529,False,,residential,,72.716,"LINESTRING (-77.0095089 -12.0993254, -77.0088976 -12.0990601)",Calle Fragonard,,,,,
316625044,263933848,0,"[437497437, 35893333]",True,2,tertiary,40,137.73800000000003,"LINESTRING (-77.0095089 -12.0993254, -77.009646 -12.0992035, -77.00977229999999 -12.0990912, -77.0099512 -12.0989535, -77.0101057 -12.0988742, -77.0103762 -12.0988118, -77.0104623 -12.0988, -77.0104946 -12.0987956, -77.0106047 -12.0987806)",Jirón Frederic Remington,,,,,
316625044,412554058,0,339497473,True,2,secondary,60,296.879,"LINESTRING (-77.0095089 -12.0993254, -77.0095575 -12.0991459, -77.0096501 -12.0988035, -77.0097404 -12.0980665, -77.00974359999999 -12.0979916, -77.0097475 -12.0978988, -77.00973500000001 -12.0977017, -77.00971060000001 -12.0973961, -77.00967369999999 -12.0971267, -77.00956669999999 -12.0966951)",Avenida San Borja Sur,,,,,
316625051,316625114,0,426862789,True,2,secondary,60,6.021,"LINESTRING (-77.0090002 -12.0954257, -77.0089576 -12.0953911)",Avenida del Parque Norte,,,,,
316625114,1273848798,0,34113660,True,3,secondary,40,70.60499999999999,"LINESTRING (-77.0089576 -12.0953911, -77.0085265 -12.0951731, -77.0083716 -12.0951203)",Avenida San Borja Norte,,,,,
316625114,316625118,0,426862789,True,2,secondary,60,93.87700000000001,"LINESTRING (-77.0089576 -12.0953911, -77.0089462 -12.0953819, -77.00890010000001 -12.09533, -77.0088633 -12.0952719, -77.0088366 -12.0952085, -77.0088207 -12.0951418, -77.0088181 -12.0951033, -77.0088161 -12.0950734, -77.0088186 -12.0950479, -77.0088228 -12.0950051, -77.00884069999999 -12.0949389, -77.00886939999999 -12.0948763, -77.0089081 -12.0948191, -77.00895749999999 -12.0947672, -77.0090151 -12.094724, -77.0090793 -12.0946909)",Avenida del Parque Norte,,,,,
316625118,485615583,0,28796827,True,2,secondary,60,7.502,"LINESTRING (-77.0090793 -12.0946909, -77.0091412 -12.0946611)",Avenida del Parque Norte,,,,,
316627520,4354035769,0,437589494,True,2,secondary,60,134.85299999999998,"LINESTRING (-77.00997479999999 -12.1084402, -77.0097821 -12.1085567, -77.00959210000001 -12.1086469, -77.00949559999999 -12.1086812, -77.00931540000001 -12.1087294, -77.00913509999999 -12.1087567, -77.0088049 -12.10874)",Avenida José Galvez Barrenechea,,,,,
316627523,1759671756,0,437360687,False,2,residential,,41.872,"LINESTRING (-77.0085121 -12.1087258, -77.0084832 -12.1091013)",Jirón Daniel Alcides Carrión,,,,,
