source;amenity;wazeinfo0800_km;wazeinfo1400_minutes;wazeinfo1400_km;wazeinfo0800_minutes;tiempoponderado30kmh
31035249;courthouse;0.94;2.55;0.941;3.083333333333333;1.88
31035249;hospital;0.981;2.45;0.981;2.3000000000000003;1.962
31035249;police;0.696;1.7333333333333334;0.6940000000000001;2.333333333333333;1.392
31035249;school;0.30000000000000004;0.55;0.30000000000000004;0.5833333333333334;0.6000000000000001
31035249;university;0.984;2.45;0.984;2.3000000000000003;1.968
31035256;bank;0.75;1.8833333333333333;0.7480000000000001;2.3833333333333337;1.5000000000000002
31035256;courthouse;1.153999999999999;3.1;1.1549999999999994;3.65;2.3079999999999985
31035256;hospital;1.281;3.0;1.281;2.8833333333333333;2.5620000000000003
31035256;police;0.91;2.1166666666666667;0.908;2.7500000000000004;1.82
31035256;school;0.0;0.0;0.0;0.0;0.0
31035256;university;1.284;3.0;1.284;2.8833333333333333;2.568
31035258;bank;0.7440000000000001;1.8833333333333333;0.7420000000000001;2.3833333333333337;1.4880000000000002
31035258;courthouse;1.147999999999999;3.1;1.1489999999999994;3.65;2.2959999999999985
31035258;hospital;1.275;3.0;1.275;2.8833333333333333;2.5500000000000003
31035258;police;0.904;2.1166666666666667;0.902;2.7500000000000004;1.808
31035258;school;0.006;0.0;0.006;0.0;0.012
31035258;university;1.2779999999999998;3.0;1.2779999999999998;2.8833333333333333;2.556
31035273;bank;0.493;1.4166666666666667;0.491;1.8833333333333333;0.986
31035273;courthouse;0.8970000000000001;2.6333333333333333;0.8980000000000001;3.15;1.7940000000000005
31035273;hospital;1.024;2.533333333333333;1.024;2.3833333333333333;2.048
31035273;police;0.653;1.65;0.6509999999999999;2.2500000000000004;1.306
31035273;school;0.257;0.4666666666666667;0.257;0.5;0.5140000000000001
31035273;university;1.0270000000000001;2.533333333333333;1.0270000000000001;2.3833333333333333;2.0540000000000003
31035282;bank;0.7290000000000001;1.85;0.727;2.3500000000000005;1.4580000000000002
31035282;courthouse;1.1329999999999991;3.0666666666666664;1.1339999999999992;3.6166666666666667;2.2659999999999982
31035282;hospital;1.26;2.9666666666666663;1.26;2.85;2.52
31035282;police;0.889;2.083333333333333;0.887;2.7166666666666672;1.778
31035282;school;0.021;0.03333333333333333;0.021;0.03333333333333333;0.042
31035282;university;1.263;2.9666666666666663;1.263;2.85;2.526
31035284;bank;0.006999999999999999;0.0;0.006999999999999999;0.0;0.013999999999999999
31035284;courthouse;0.4110000000000001;1.45;0.4140000000000001;1.2666666666666666;0.8220000000000002
31035284;hospital;1.5100000000000002;3.95;1.508;4.266666666666668;3.0200000000000005
31035284;police;0.34700000000000003;1.0333333333333334;0.35000000000000003;0.9;0.6940000000000001
31035284;school;0.009000000000000001;0.0;0.009000000000000001;0.0;0.018000000000000002
31035284;university;1.2250000000000003;2.2666666666666666;1.2260000000000002;1.95;2.4500000000000006
31035294;bank;0.289;0.9666666666666668;0.289;0.8666666666666667;0.578
31035294;courthouse;0.6930000000000001;2.416666666666667;0.6960000000000001;2.1333333333333333;1.386
31035294;hospital;1.228;2.983333333333333;1.226;3.4000000000000004;2.456
31035294;police;0.449;1.2;0.449;1.2333333333333334;0.898
31035294;school;0.29100000000000004;0.9166666666666666;0.29100000000000004;0.8666666666666667;0.5820000000000001
31035294;university;1.231;2.983333333333333;1.229;2.816666666666667;2.462
31035295;bank;0.453;1.3;0.453;1.2833333333333334;0.906
31035295;courthouse;0.8570000000000001;2.7500000000000004;0.8600000000000001;2.5500000000000003;1.7140000000000002
31035295;hospital;1.392;3.3166666666666664;1.39;3.816666666666667;2.784
31035295;police;0.28500000000000003;0.8666666666666667;0.28500000000000003;0.8166666666666667;0.5700000000000001
31035295;school;0.455;1.2500000000000002;0.455;1.2833333333333334;0.91
31035295;university;1.3949999999999998;3.3166666666666664;1.393;3.233333333333334;2.79
31035304;bank;0.307;1.0166666666666668;0.307;0.9166666666666669;0.614
31035304;courthouse;0.7110000000000001;2.4666666666666672;0.7140000000000001;2.1833333333333336;1.4220000000000002
31035304;hospital;1.21;2.933333333333333;1.2080000000000002;3.35;2.42
31035304;police;0.467;1.25;0.467;1.2833333333333332;0.934
31035304;school;0.309;0.8666666666666667;0.309;0.9166666666666669;0.618
31035304;university;1.213;2.933333333333333;1.2109999999999999;2.8666666666666667;2.426
31035305;bank;0.319;1.0166666666666668;0.319;0.9166666666666669;0.638
31035305;courthouse;0.7230000000000001;2.4666666666666672;0.7260000000000001;2.1833333333333336;1.4460000000000002
31035305;hospital;1.222;2.933333333333333;1.2200000000000002;3.35;2.444
31035305;police;0.479;1.25;0.479;1.2833333333333332;0.958
31035305;school;0.321;0.8666666666666667;0.321;0.9166666666666669;0.642
31035305;university;1.225;2.933333333333333;1.2229999999999999;2.8666666666666667;2.45
31035313;bank;0.48700000000000004;1.4166666666666667;0.485;1.8833333333333333;0.9740000000000001
31035313;courthouse;0.8910000000000001;2.6333333333333333;0.8920000000000001;3.15;1.7820000000000005
31035313;hospital;1.03;2.533333333333333;1.03;2.3833333333333333;2.06
31035313;police;0.647;1.65;0.645;2.2500000000000004;1.294
31035313;school;0.263;0.4666666666666667;0.263;0.5;0.5260000000000001
31035313;university;1.033;2.533333333333333;1.033;2.3833333333333333;2.066
31035344;bank;0.561;1.5500000000000005;0.5589999999999999;2.0166666666666666;1.122
31035344;courthouse;0.9650000000000002;2.7666666666666666;0.9660000000000002;3.283333333333333;1.9300000000000004
31035344;hospital;1.104;2.6666666666666665;1.104;2.5166666666666666;2.208
31035344;police;0.7210000000000001;1.7833333333333334;0.7190000000000001;2.3833333333333337;1.4420000000000002
31035344;school;0.3370000000000001;0.6;0.3370000000000001;0.6333333333333333;0.6740000000000002
31035344;university;1.107;2.6666666666666665;1.107;2.5166666666666666;2.214
31035346;bank;0.462;1.3333333333333337;0.462;1.1833333333333331;0.924
31035346;courthouse;0.866;2.7833333333333337;0.8690000000000001;2.45;1.732
31035346;hospital;1.341;3.25;1.341;3.516666666666667;2.682
