source;target;tiempoponderado30kmh
1273725720;257946636;7.095999999999997
1273725720;4334512405;6.6679999999999975
1273725720;885797822;2.614
1273725720;257946702;6.953999999999998
1273725720;108154712;9.019999999999998
1273725720;888357854;6.921999999999998
1273725720;108064627;2.0979999999999985
629048130;306533716;0.682
263390027;257946636;9.569999999999993
263390027;4334512405;9.141999999999994
263390027;885797822;5.087999999999998
263390027;257946702;9.427999999999994
263390027;108154712;11.493999999999996
263390027;888357854;9.395999999999994
263390027;108064627;0.404
263390056;257946636;9.603999999999994
263390056;4334512405;9.175999999999995
263390056;885797822;5.121999999999998
263390056;257946702;9.461999999999994
263390056;108154712;11.527999999999997
263390056;888357854;9.429999999999994
263390056;108064627;0.43800000000000006
263390064;257946636;9.565999999999994
263390064;4334512405;9.137999999999995
263390064;885797822;5.083999999999998
263390064;257946702;9.423999999999994
263390064;108154712;11.489999999999997
263390064;888357854;9.391999999999994
263390064;108064627;0.4
262570902;259996518;1.01
1426686872;257946636;9.177999999999994
1426686872;4334512405;8.749999999999995
1426686872;885797822;4.695999999999999
1426686872;257946702;9.035999999999994
1426686872;108154712;11.101999999999997
1426686872;888357854;9.003999999999994
1426686872;108064627;0.012
263390121;257946636;9.559999999999993
263390121;4334512405;9.131999999999994
263390121;885797822;5.0779999999999985
263390121;257946702;9.417999999999994
263390121;108154712;11.483999999999996
263390121;888357854;9.385999999999994
263390121;108064627;0.3940000000000001
486245336;257946636;8.319999999999997
486245336;4334512405;7.891999999999996
486245336;885797822;3.8379999999999996
486245336;257946702;8.177999999999997
486245336;108154712;10.243999999999998
486245336;888357854;8.145999999999997
486245336;108064627;1.9940000000000002
107774938;257946636;1.354
107774938;4334512405;0.9259999999999999
107774938;885797822;4.867999999999995
107774938;257946702;1.212
107774938;108154712;2.37
107774938;888357854;1.18
107774938;108064627;9.451999999999996
107774940;257946636;1.374
107774940;4334512405;0.946
107774940;885797822;4.8879999999999955
107774940;257946702;1.232
107774940;108154712;2.39
107774940;888357854;1.2
107774940;108064627;9.471999999999998
821593055;821623991;0.01
107774945;257946636;2.793999999999998
107774945;4334512405;2.3659999999999997
107774945;885797822;6.3079999999999945
107774945;257946702;2.6519999999999984
107774945;108154712;1.0619999999999998
107774945;888357854;2.619999999999999
107774945;108064627;10.892000000000001
107774948;257946636;2.7119999999999975
107774948;4334512405;2.2839999999999994
107774948;885797822;6.225999999999994
107774948;257946702;2.569999999999998
107774948;108154712;0.98
107774948;888357854;2.537999999999999
107774948;108064627;10.81
107774949;257946636;2.6839999999999975
107774949;4334512405;2.2559999999999993
107774949;885797822;6.197999999999994
107774949;257946702;2.541999999999998
107774949;108154712;0.952
107774949;888357854;2.509999999999999
107774949;108064627;10.782
262570985;259996518;1.068
262570986;259996518;1.028
107774958;257946636;1.354
107774958;4334512405;0.9259999999999999
107774958;885797822;4.867999999999995
107774958;257946702;1.212
107774958;108154712;2.37
107774958;888357854;1.18
107774958;108064627;9.451999999999996
263390197;257946636;9.547999999999993
263390197;4334512405;9.119999999999994
263390197;885797822;5.065999999999998
263390197;257946702;9.405999999999993
263390197;108154712;11.471999999999996
263390197;888357854;9.373999999999993
263390197;108064627;0.38200000000000006
821789705;4315098988;5.906
821593114;821623991;0.008
263390253;257946636;9.575999999999993
263390253;4334512405;9.147999999999994
263390253;885797822;5.0939999999999985
263390253;257946702;9.433999999999994
263390253;108154712;11.499999999999996
263390253;888357854;9.401999999999994
263390253;108064627;0.41000000000000003
4341859395;306533716;0.6719999999999999
821593166;821623991;0.020000000000000004
821593170;821623991;0.004
821593195;821623991;0.004
629048456;306533716;0.39
629212302;306533716;0.07400000000000001
629212314;306533716;0.01
629212320;306533716;0.01
629212336;306533716;0.004
821789884;4315098988;5.925999999999999
821789889;4315098988;5.925999999999999
