osmid,y,x,ref,highway,street_count,geometry
4356139149,-12.0834458,-76.997176,,,3,POINT (-76.997176 -12.0834458)
4356633406,-12.0846213,-77.007408,,,3,POINT (-77.007408 -12.0846213)
4356633423,-12.0843597,-77.0055058,,,3,POINT (-77.00550579999999 -12.0843597)
4356638064,-12.0839734,-77.0027531,,,3,POINT (-77.00275310000001 -12.0839734)
4356638072,-12.0839381,-77.002528,,,3,POINT (-77.002528 -12.0839381)
4356640171,-12.0835877,-77.0000022,,,3,POINT (-77.0000022 -12.0835877)
4356640172,-12.082906,-76.9978784,,,3,POINT (-76.9978784 -12.082906)
4356655351,-12.0813245,-76.994324,,,3,POINT (-76.99432400000001 -12.0813245)
4357999837,-12.0873075,-76.9965065,,,4,POINT (-76.9965065 -12.0873075)
4361756351,-12.1062417,-76.9826872,,,4,POINT (-76.9826872 -12.1062417)
4361772827,-12.0911615,-76.9858038,,,4,POINT (-76.9858038 -12.0911615)
4361777589,-12.0911345,-76.9866406,,,4,POINT (-76.9866406 -12.0911345)
4361787348,-12.1109997,-76.9918234,,,3,POINT (-76.9918234 -12.1109997)
4361803037,-12.1096032,-76.9845092,,,4,POINT (-76.98450920000001 -12.1096032)
4361820072,-12.1016096,-76.9803515,,,3,POINT (-76.9803515 -12.1016096)
4361820073,-12.1016262,-76.980465,,,3,POINT (-76.980465 -12.1016262)
4361820076,-12.0975262,-76.9808909,,,3,POINT (-76.98089090000001 -12.0975262)
4361820077,-12.0973416,-76.9809186,,,3,POINT (-76.9809186 -12.0973416)
4361820078,-12.0964454,-76.9811581,,,3,POINT (-76.9811581 -12.0964454)
4361825290,-12.0965181,-76.9855955,,,3,POINT (-76.9855955 -12.0965181)
4361825298,-12.0963225,-76.985465,,,4,POINT (-76.985465 -12.0963225)
4361829609,-12.0963277,-76.9856165,,,4,POINT (-76.98561650000001 -12.0963277)
4361829638,-12.0963572,-76.9861113,,,3,POINT (-76.9861113 -12.0963572)
4361829639,-12.0964141,-76.9871188,,,3,POINT (-76.9871188 -12.0964141)
4361842493,-12.1079461,-76.9846418,,traffic_signals,4,POINT (-76.98464180000001 -12.1079461)
4361842498,-12.0962831,-76.9854677,,,3,POINT (-76.9854677 -12.0962831)
4362183215,-12.1101715,-76.9787591,,,3,POINT (-76.9787591 -12.1101715)
4365300419,-12.1088818,-76.9809975,,,4,POINT (-76.9809975 -12.1088818)
4365330945,-12.110634,-76.9868446,,,3,POINT (-76.9868446 -12.110634)
4365330946,-12.1107392,-76.9868356,,,3,POINT (-76.98683560000001 -12.1107392)
4365362201,-12.1108756,-76.9887807,,,3,POINT (-76.98878070000001 -12.1108756)
4365493155,-12.1111923,-77.007362,,,3,POINT (-77.007362 -12.1111923)
4365493160,-12.1112038,-77.007469,,,3,POINT (-77.007469 -12.1112038)
4368402158,-12.0881977,-77.0048442,6,motorway_junction,3,POINT (-77.00484419999999 -12.0881977)
4368421379,-12.081857,-76.9858742,5A,motorway_junction,3,POINT (-76.9858742 -12.081857)
4374564406,-12.0874619,-77.0003062,,,3,POINT (-77.0003062 -12.0874619)
4374564407,-12.0876274,-77.0006748,,,3,POINT (-77.0006748 -12.0876274)
4376219517,-12.0826143,-76.9855716,,,3,POINT (-76.9855716 -12.0826143)
4459572497,-12.0976343,-76.99298,,,1,POINT (-76.99298 -12.0976343)
4459572498,-12.0981098,-76.9929855,,,1,POINT (-76.9929855 -12.0981098)
4507417805,-12.0835736,-76.9971586,,,3,POINT (-76.99715860000001 -12.0835736)
4510733926,-12.0943168,-76.9921463,,,3,POINT (-76.9921463 -12.0943168)
4510733931,-12.0941701,-76.9919046,,,3,POINT (-76.9919046 -12.0941701)
4510733937,-12.0937556,-76.9924852,,traffic_signals,4,POINT (-76.9924852 -12.0937556)
4510733938,-12.0940196,-76.992743,,traffic_signals,4,POINT (-76.992743 -12.0940196)
4510748506,-12.095961,-76.9870627,,turning_loop,1,POINT (-76.9870627 -12.095961)
4510814611,-12.101235,-77.0024364,,,3,POINT (-77.00243639999999 -12.101235)
4549868556,-12.107611,-77.0080043,,,3,POINT (-77.0080043 -12.107611)
4549916938,-12.1077271,-77.0026449,,,3,POINT (-77.00264490000001 -12.1077271)
4549916939,-12.1076544,-77.0025831,,,3,POINT (-77.0025831 -12.1076544)
