index1;u;v;wazeinfo
152125;938883943;938883965;(-1, -1)
346200;1831118240;1831118166;(0.21666666666666667, 0.126)
152127;938883944;938883954;(-1, -1)
205106;1381254425;1381254446;(-1, -1)
346209;1831118251;10910185862;(-1, -1)
152138;938883947;1235100355;(0.0, 0.0)
346223;1831121696;6315360066;(0.0, 0.001)
283;495321960;495321957;(0.0, 0.0)
152139;938883948;938883959;(-1, -1)
152142;938883949;938883952;(-1, -1)
152143;938883949;938883959;(-1, -1)
76014;5559416918;5559416920;(0.2833333333333333, 0.051)
288;495321967;495321963;(0.0, 0.001)
292;495321972;6415478427;(0.15, 0.061)
305;495323405;4971035660;(-1, -1)
205126;1381254446;1381254425;(0.0, 0.002)
335;495325860;495324537;(0.11666666666666667, 0.04)
205131;1381254452;1381254422;(0.0, 0.0)
354;495326614;495326382;(-1, -1)
205135;1381254457;1381254476;(-1, -1)
346259;1845842464;1273920924;(0.15, 0.023)
152147;938883950;1235100341;(0.11666666666666667, 0.034)
205139;1381254460;1381254542;(0.9666666666666667, 0.241)
346264;1845842465;5735323735;(-1, -1)
205141;1381254464;1381254469;(-1, -1)
152149;938883950;1235100334;(0.0, 0.0)
346270;1845842470;5589324847;(0.0, 0.0)
205160;1381254475;1381254473;(-1, -1)
152154;938883952;938883949;(-1, -1)
205169;1381254478;1381254487;(-1, -1)
281840;5393509449;5393509450;(1.1833333333333333, 0.098)
152155;938883952;624882175;(-1, -1)
205174;1381254481;273948257;(-1, -1)
281850;5393509452;1487000903;(0.0, 0.0)
205177;1381254487;1381254593;(-1, -1)
281857;5393509454;1273830210;(-1, -1)
281860;5393509455;9794087671;(-1, -1)
205188;1381254518;1844870185;(0.03333333333333333, 0.016)
76016;5559416919;5559416920;(0.45, 0.173)
205194;1381254542;1381254509;(0.0, 0.0)
152160;938883955;938883939;(0.0, 0.001)
76018;5559416919;5559416917;(0.0, 0.003)
152164;938883956;1235100385;(0.0, 0.001)
205198;1381254558;1381254492;(2.35, 0.687)
346273;1845842475;1755263541;(0.0, 0.001)
374;495327696;495327262;(0.23333333333333334, 0.074)
346274;1845842475;5589324858;(0.45, 0.124)
376;495327696;8209538822;(0.06666666666666667, 0.02)
281862;5393509457;1487000890;(0.0, 0.002)
205215;1381254574;1381254606;(0.0, 0.0)
205225;1381254583;1381254475;(1.1333333333333333, 0.253)
281873;5393802312;5393802314;(0.06666666666666667, 0.023)
