osmid,highway,street_count,geometry,NN,NN_dist
263385669,,4,POINT (-77.0665771 -12.0918149),380908323,0.001306693514178347
263385865,,3,POINT (-77.0636051 -12.0926306),6131131883,0.0014450233008512744
263385887,,3,POINT (-77.0628318 -12.0939473),6131131883,0.0012571304625994203
263385888,,3,POINT (-77.0631497 -12.0937051),6131131883,0.0012780577021358826
263385889,,3,POINT (-77.0635521 -12.0933986),6131131883,0.0014692729970913203
263385890,,3,POINT (-77.0639754 -12.0930761),6131131883,0.0018065550088510421
263385897,,3,POINT (-77.0646081 -12.0946626),6131131883,0.0030165572330046993
263385908,,3,POINT (-77.06423909999999 -12.0942262),6131131883,0.0024641088652834283
263385920,,3,POINT (-77.06385659999999 -12.0945264),6131131883,0.002355070047784592
263385950,,3,POINT (-77.0632949 -12.0952249),6131131883,0.002603416618599991
263385996,,3,POINT (-77.0643855 -12.0935696),6131131883,0.002312784525197087
263385997,,3,POINT (-77.0656676 -12.0951124),263386171,0.003500910802926021
263385998,,3,POINT (-77.0663189 -12.095896),606182861,0.0031427032519772426
263385999,,3,POINT (-77.06654380000001 -12.0961666),606182861,0.002790858398408174
263386000,,4,POINT (-77.0700147 -12.0949259),263386000,0.0
263386034,traffic_signals,4,POINT (-77.07071259999999 -12.0957854),263386034,0.0
263386119,,3,POINT (-77.0667619 -12.0955483),263386122,0.002930235323316467
263386120,,3,POINT (-77.0673891 -12.0950402),263386122,0.002133008438806226
263386121,,4,POINT (-77.0679741 -12.0945596),263386122,0.0013971712135637106
263386122,traffic_signals,4,POINT (-77.06926470000001 -12.0940244),263386122,0.0
263386141,,4,POINT (-77.0661121 -12.0947646),263386171,0.0029383781104607874
263386142,,4,POINT (-77.0648283 -12.0932161),6131131883,0.002670151757858968
263386169,,4,POINT (-77.0667467 -12.0942661),263386171,0.0021359637192695687
263386170,,4,POINT (-77.0673355 -12.093803),263386171,0.0013959137079405347
263386171,traffic_signals,4,POINT (-77.06857770000001 -12.0931662),263386171,0.0
263386247,,4,POINT (-77.0624249 -12.0890581),3854554751,0.0017169304266653736
263386248,,4,POINT (-77.0654586 -12.0927138),380908323,0.002512803573699006
263386399,,4,POINT (-77.0660501 -12.0922539),380908323,0.0018489459537788522
263386462,,3,POINT (-77.06710219999999 -12.0914026),380908323,0.0009911709640604042
263386681,,3,POINT (-77.0611796 -12.0900654),263384500,0.0018683276613102946
263386682,,3,POINT (-77.06151819999999 -12.0897864),5433888564,0.00185934532833451
263386683,,4,POINT (-77.0618101 -12.0895457),5433888564,0.00173653938913399
263386684,,4,POINT (-77.0630166 -12.0885741),263386686,0.0013738810610891244
263386685,,4,POINT (-77.06354090000001 -12.0881472),263386686,0.0006978487586856149
263386686,,3,POINT (-77.06409170000001 -12.0877187),263386686,0.0
263386811,,3,POINT (-77.0610891 -12.0887985),5433888564,0.0008100818538891623
263386813,,3,POINT (-77.0613036 -12.0888955),5433888564,0.0009435084843305773
263386904,,4,POINT (-77.0626602 -12.0881356),1273971486,0.0014175246029574306
263386905,,4,POINT (-77.0625026 -12.0879287),1273971486,0.001196827577391574
263386906,,3,POINT (-77.06207139999999 -12.0873702),1273971486,0.0007363312569693572
263386933,,3,POINT (-77.063193 -12.0877227),263386686,0.0008987089017104638
263386934,,2,POINT (-77.06302030000001 -12.087512),1273469440,0.0008919185725163579
263386945,,3,POINT (-77.0649595 -12.0887789),632683116,0.0012697613161501908
263387030,,3,POINT (-77.0618959 -12.0884268),3854554751,0.0009110965920276953
263387031,,3,POINT (-77.0620332 -12.0885947),3854554751,0.0011201800301803215
