osmid,highway,street_count,geometry,NN,NN_dist
912507981,,3,POINT (-77.0546804 -12.0544227),4332964401,0.001748489705435576
912507984,,3,POINT (-77.0505685 -12.0560678),912507991,0.0008096577363310545
912507986,,3,POINT (-77.0459649 -12.0511289),2860030626,0.0010586192138803403
912507990,,4,POINT (-77.0439001 -12.053539),912508090,0.0010828412856920284
912507991,,4,POINT (-77.0513766 -12.056118),912507991,0.0
912507992,,3,POINT (-77.0435477 -12.0595851),912508035,0.00041471075461567024
912507994,,4,POINT (-77.04465500000001 -12.0517858),310953976,0.002348042463418861
912507997,,4,POINT (-77.04778589999999 -12.0538766),1273833071,0.0014135359493080892
912508004,,4,POINT (-77.0451012 -12.0547189),912508004,0.0
912508005,,4,POINT (-77.05416030000001 -12.0543981),915282068,0.0018925214186374167
912508010,,3,POINT (-77.0492148 -12.0539878),2053915143,0.001066037569694511
912508016,,3,POINT (-77.0493512 -12.0540071),2053915143,0.0010498126166129508
912508021,,4,POINT (-77.047583 -12.0513854),915282503,0.0010701237545262315
912508023,,4,POINT (-77.0478684 -12.0558393),593974693,0.0010176948167251816
912508025,,4,POINT (-77.0450829 -12.0556222),912508004,0.0009034853512935241
912508034,,3,POINT (-77.04746179999999 -12.0548965),1273833071,0.0007177568529738212
912508035,,4,POINT (-77.0439447 -12.0594652),912508035,0.0
912508037,,3,POINT (-77.04211859999999 -12.0554202),1354143299,0.0008022758877086939
912508041,,3,POINT (-77.0508274 -12.0569652),2053915220,0.0006966944882773391
912508042,,3,POINT (-77.0562532 -12.0545573),1356144867,0.000558269056998605
912508043,,3,POINT (-77.05049390000001 -12.0569424),819210897,0.00066020552102985
912508051,,4,POINT (-77.0437139 -12.0555154),912508090,0.0009027389268228231
912508053,,3,POINT (-77.0478085 -12.0567072),593974693,0.0005427868826673385
912508055,,4,POINT (-77.0493013 -12.0559607),2053915143,0.000908761838987358
912508057,,4,POINT (-77.05087930000001 -12.0560845),912507991,0.0004984270658703443
912508058,,4,POINT (-77.0519475 -12.0542094),915282148,0.0010561521149916732
912508059,,3,POINT (-77.0445059 -12.0535987),912508090,0.001229811213157039
912508066,,4,POINT (-77.0450778 -12.0536421),912508004,0.0010770542233332072
912508068,,4,POINT (-77.0452677 -12.0517526),2860030626,0.001994081415090243
912508069,,3,POINT (-77.0422966 -12.0534139),912508049,0.001001489490709193
912508077,,3,POINT (-77.042317 -12.0587161),9487928103,0.0007141257312223924
