osmid,highway,street_count,ref,geometry,NN,NN_dist
6047071904,,3,,POINT (-77.093254 -11.9926739),6047071900,0.0002883018557047321
6047167127,,3,,POINT (-77.0879164 -12.0109026),1359117103,0.0012613226232780711
6047167128,,3,,POINT (-77.0896568 -12.0111865),1439430763,0.00020641414680486157
6047167131,,3,,POINT (-77.0900541 -12.0109376),1359117068,0.0006488931653210032
6047167132,,3,,POINT (-77.0902033 -12.0109614),1359117068,0.000597928039149311
6047167133,,4,,POINT (-77.09002099999999 -12.0113368),3736732158,0.0003112762438689567
6047167134,,4,,POINT (-77.0899599 -12.011258),3736732158,0.0003671495199492464
6047167135,,3,,POINT (-77.0897133 -12.0111129),1439430763,0.0002959703532473881
6047167136,,4,,POINT (-77.08851869999999 -12.0100736),1359116958,0.0009669078601350961
6047167137,,4,,POINT (-77.0877047 -12.009424),3380215695,0.00013944120624617115
6047167138,,4,,POINT (-77.08764480000001 -12.0093747),3380215695,0.00010714910172363933
6047167139,,4,,POINT (-77.0875561 -12.0093105),6047167139,0.0
6047167140,,3,,POINT (-77.0877127 -12.0093096),6047167139,0.0001566025861823835
6047167141,,4,,POINT (-77.0901001 -12.0114683),6047167130,0.00016384022704952998
6109910614,,3,,POINT (-77.0525773 -12.0361331),5141549997,0.0011757048991970422
6129310492,,3,,POINT (-77.0532759 -12.0204592),818613440,0.00011106034396165111
6129317731,,3,,POINT (-77.06414150000001 -12.0295402),846503516,8.992135452656164e-05
6129468971,,3,,POINT (-77.0567992 -12.0280297),6129468977,0.00014659075687405832
6129468977,,3,,POINT (-77.05689460000001 -12.0279184),6129468977,0.0
6130999863,,3,,POINT (-77.0877018 -11.9792935),4366866723,0.003648340392566327
6130999864,,4,,POINT (-77.0877787 -11.9792568),4366866723,0.003721565111619256
6130999865,,3,,POINT (-77.0878642 -11.9791749),4366866723,0.003837385591781014
6211193747,,4,,POINT (-77.1110738 -11.9744101),5191617404,0.00341742877029178
6277617013,,3,,POINT (-77.0894346 -11.9810465),4366866723,0.00395789642361503
6277646870,,3,,POINT (-77.0648271 -12.0347431),902279664,0.0009558985354122891
6277646871,,3,,POINT (-77.0651798 -12.0346446),902279664,0.0007454307546704262
6277646873,,3,,POINT (-77.0648714 -12.0332507),885687041,0.00010848133479271679
6277646878,,3,,POINT (-77.06509869999999 -12.034359),902279664,0.0010238446464248476
6277646879,,3,,POINT (-77.06496780000001 -12.0338633),885687041,0.0006265001197122824
