source;target;wazeinfo0800_km;wazeinfo1400_minutes;wazeinfo1400_km;wazeinfo0800_minutes
5600979122;31003285;4.689999999999998;11.450000000000005;4.688999999999998;11.46666666666667
5600979122;5518020471;4.496999999999999;12.566666666666666;4.4879999999999995;13.933333333333334
5600979122;31003258;4.758999999999999;12.200000000000005;4.757999999999999;11.91666666666667
5600979122;966367423;4.960999999999999;12.58333333333334;4.96;12.533333333333339
31000753;3076194081;5.179000000000001;13.700000000000006;5.390999999999999;13.33333333333334
31000753;1008299810;2.4069999999999996;6.6166666666666645;2.4069999999999996;6.449999999999999
31000753;30983335;2.2899999999999996;6.516666666666667;2.2899999999999996;6.483333333333332
31000753;30964904;;;;
31000753;4590287367;1.5219999999999998;6.233333333333333;1.5219999999999998;4.183333333333334
31000753;1004136874;5.068999999999996;12.48333333333334;5.068999999999996;11.983333333333336
31000753;30984135;2.6839999999999997;7.149999999999998;2.6839999999999997;7.033333333333332
31000753;444056879;2.401;5.95;2.401;5.699999999999999
31000753;438566223;5.851999999999995;15.250000000000004;5.851999999999995;15.000000000000005
31000753;993167921;2.3329999999999997;5.816666666666666;2.3329999999999997;5.583333333333332
31000753;31003285;3.5329999999999995;9.98333333333333;4.511;8.866666666666665
31000753;5518020471;2.6769999999999996;7.216666666666666;2.6769999999999996;7.116666666666665
31000753;31003258;3.362;8.68333333333333;3.362;8.533333333333331
31000753;966367423;3.553999999999999;9.249999999999998;3.553999999999999;9.18333333333333
5600979126;3076194081;3.642999999999998;9.483333333333334;3.6439999999999984;9.333333333333337
5600979126;1008299810;4.733999999999997;13.100000000000003;4.7269999999999985;14.433333333333335
5600979126;30983335;5.199999999999997;14.533333333333339;5.192999999999998;16.016666666666676
5600979126;30964904;;;;
5600979126;4590287367;5.709999999999998;15.06666666666667;5.702999999999999;16.18333333333334
5600979126;1004136874;3.187999999999999;8.266666666666667;3.189999999999999;7.983333333333335
5600979126;30984135;5.0109999999999975;13.633333333333336;5.003999999999999;15.01666666666667
5600979126;444056879;5.310999999999999;13.96666666666667;5.304;15.233333333333341
5600979126;438566223;3.9709999999999988;11.033333333333331;3.972999999999999;11.000000000000004
5600979126;993167921;5.2429999999999986;13.833333333333337;5.236;15.116666666666674
5600979126;31003285;5.196999999999997;12.583333333333337;5.197999999999999;12.633333333333342
