u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,lanes,width,ref,bridge,access,junction,wazeinfo0800_minutes,wazeinfo0800_km,wazeinfo1400_minutes,wazeinfo1400_km
1703367524,6227704355,0,446414763,Avenida Humberto Vidal Unda,secondary,60,False,278.238,"LINESTRING (-71.9922321 -13.507516, -71.9923112 -13.5074736, -71.9923756 -13.5074586, -71.992448 -13.5074506, -71.99247010000001 -13.5074482, -71.9926049 -13.5074554, -71.99271280000001 -13.5074658, -71.992794 -13.5074626, -71.992859 -13.5074402, -71.99291599999999 -13.5073999, -71.99296409999999 -13.5073404, -71.99302830000001 -13.5071934, -71.99306300000001 -13.5070742, -71.9930849 -13.5070036, -71.9930937 -13.5068947, -71.99310440000001 -13.5067884, -71.9930904 -13.5067199, -71.9930488 -13.5066397, -71.9929844 -13.5065673, -71.9928946 -13.5064956, -71.992712 -13.5063243, -71.9926785 -13.5062746, -71.9926758 -13.5062259, -71.9926801 -13.5061892, -71.9927035 -13.5061431, -71.992794 -13.5060549, -71.99290670000001 -13.5059766, -71.9929763 -13.505923)",,,,,,,0.7333333333333333,0.273,0.7333333333333333,0.273
5600850787,3400714932,0,332951023,,tertiary_link,,True,47.203,"LINESTRING (-71.9505377 -13.5311068, -71.9509733 -13.5310777)",,,,,,,0.08333333333333333,0.044,0.08333333333333333,0.044
30970727,30964872,0,556306249,Avenida Los Pinos,secondary,50,True,48.634,"LINESTRING (-71.9663274 -13.5318013, -71.9667752 -13.5317595)",,,,,,,0.08333333333333333,0.048,0.08333333333333333,0.048
30970729,30970727,0,556306249,Avenida Los Pinos,secondary,50,True,47.676,"LINESTRING (-71.9658883 -13.5318411, -71.9663274 -13.5318013)",,,,,,,0.08333333333333333,0.045,0.08333333333333333,0.045
30970731,30970729,0,556306249,Avenida Los Pinos,secondary,50,True,64.393,"LINESTRING (-71.9652956 -13.5318985, -71.9658883 -13.5318411)",,,,,,,0.1,0.06,0.1,0.06
30970733,30970736,0,556306249,Avenida Los Pinos,secondary,50,True,50.973,"LINESTRING (-71.964398 -13.531985, -71.9648669 -13.5319369)",,,,,,,0.08333333333333333,0.048,0.08333333333333333,0.048
30970736,30970731,0,556306249,Avenida Los Pinos,secondary,50,True,46.544,"LINESTRING (-71.9648669 -13.5319369, -71.9651695 -13.5319115, -71.9652956 -13.5318985)",,,,,,,0.08333333333333333,0.046,0.08333333333333333,0.046
3707261809,5601275787,0,4819849,,tertiary,,False,82.65,"LINESTRING (-71.9850385 -13.5439966, -71.98458220000001 -13.5434002)",,,,,,,0.21666666666666667,0.08199999999999999,0.21666666666666667,0.08199999999999999
3707261809,30970944,0,4819849,,tertiary,,False,204.266,"LINESTRING (-71.9850385 -13.5439966, -71.9856169 -13.544651, -71.9862151 -13.5453211, -71.9862796 -13.5453813)",,,,,,,0.0,0.001,0.0,0.001
30970738,30970733,0,556306249,Avenida Los Pinos,secondary,50,True,60.033,"LINESTRING (-71.96384620000001 -13.5320456, -71.964398 -13.531985)",,,,,,,0.1,0.058,0.1,0.058
