osmid,y,x,street_count,highway,geometry
30964880,-13.5309655,-71.9618727,4,,POINT (-71.9618727 -13.5309655)
30964882,-13.5311335,-71.9603454,3,,POINT (-71.96034539999999 -13.5311335)
30964887,-13.5308259,-71.9602712,3,,POINT (-71.96027119999999 -13.5308259)
30964900,-13.5305437,-71.959356,3,,POINT (-71.959356 -13.5305437)
30964903,-13.5316937,-71.9592992,3,,POINT (-71.9592992 -13.5316937)
30964904,-13.5325087,-71.9593437,3,,POINT (-71.95934370000001 -13.5325087)
30964951,-13.5236087,-71.9709144,4,,POINT (-71.9709144 -13.5236087)
30964952,-13.5237443,-71.9698577,4,,POINT (-71.96985770000001 -13.5237443)
30964953,-13.5239029,-71.9688163,4,,POINT (-71.9688163 -13.5239029)
30964954,-13.5241312,-71.9671016,3,,POINT (-71.96710160000001 -13.5241312)
30964957,-13.5253418,-71.9634471,4,,POINT (-71.9634471 -13.5253418)
30964958,-13.5261439,-71.9614792,4,,POINT (-71.9614792 -13.5261439)
30964959,-13.5272352,-71.9588423,4,,POINT (-71.9588423 -13.5272352)
30964987,-13.5254289,-71.9634751,4,,POINT (-71.9634751 -13.5254289)
30964989,-13.5268966,-71.9598999,4,,POINT (-71.9598999 -13.5268966)
30965017,-13.5248693,-71.9672377,3,,POINT (-71.9672377 -13.5248693)
30965018,-13.5262863,-71.9674408,3,,POINT (-71.96744080000001 -13.5262863)
30965026,-13.5297676,-71.9672409,3,,POINT (-71.96724089999999 -13.5297676)
30965027,-13.5284592,-71.967448,3,,POINT (-71.967448 -13.5284592)
30965029,-13.5304337,-71.9725523,3,,POINT (-71.9725523 -13.5304337)
30965031,-13.5299576,-71.9717581,3,,POINT (-71.9717581 -13.5299576)
30965033,-13.5291351,-71.9713585,4,,POINT (-71.97135849999999 -13.5291351)
30965040,-13.5267568,-71.9725122,3,,POINT (-71.9725122 -13.5267568)
30965042,-13.526108,-71.9744333,4,,POINT (-71.9744333 -13.526108)
30965044,-13.5252352,-71.9764149,3,,POINT (-71.97641489999999 -13.5252352)
30965067,-13.5268684,-71.9721036,3,,POINT (-71.9721036 -13.5268684)
30965255,-13.5367339,-71.980004,3,,POINT (-71.98000399999999 -13.5367339)
30965363,-13.5938794,-71.9748369,3,,POINT (-71.9748369 -13.5938794)
30965484,-13.5758616,-71.9955242,3,,POINT (-71.99552420000001 -13.5758616)
30965572,-13.5562174,-71.9917754,3,,POINT (-71.99177539999999 -13.5562174)
30965592,-13.5508314,-71.9867599,3,,POINT (-71.9867599 -13.5508314)
30965595,-13.5504611,-71.9870875,3,,POINT (-71.9870875 -13.5504611)
30965611,-13.5519208,-71.9912392,3,,POINT (-71.9912392 -13.5519208)
30965625,-13.5447565,-71.9828088,4,,POINT (-71.9828088 -13.5447565)
30965628,-13.5450186,-71.9819445,3,,POINT (-71.9819445 -13.5450186)
30965630,-13.5445583,-71.982002,4,,POINT (-71.98200199999999 -13.5445583)
30965633,-13.5426583,-71.9819488,3,,POINT (-71.9819488 -13.5426583)
30965641,-13.5938044,-71.9749142,4,,POINT (-71.9749142 -13.5938044)
30965677,-13.5304687,-71.9580372,3,,POINT (-71.95803720000001 -13.5304687)
30965678,-13.5316739,-71.9579578,3,,POINT (-71.9579578 -13.5316739)
30965680,-13.5304003,-71.9565411,3,,POINT (-71.9565411 -13.5304003)
30965681,-13.5316019,-71.956481,3,,POINT (-71.956481 -13.5316019)
30965683,-13.5316038,-71.9556865,3,,POINT (-71.9556865 -13.5316038)
30965684,-13.5328463,-71.9558132,3,,POINT (-71.95581319999999 -13.5328463)
30965706,-13.5318856,-71.9571902,1,,POINT (-71.9571902 -13.5318856)
30965707,-13.5326991,-71.9572624,3,,POINT (-71.9572624 -13.5326991)
30965709,-13.5317438,-71.9587008,1,,POINT (-71.9587008 -13.5317438)
30965711,-13.5325661,-71.9587966,3,,POINT (-71.9587966 -13.5325661)
30965713,-13.5339429,-71.959544,4,,POINT (-71.95954399999999 -13.5339429)
30965714,-13.5338194,-71.9607117,4,,POINT (-71.9607117 -13.5338194)
30965715,-13.5331497,-71.9670916,3,,POINT (-71.9670916 -13.5331497)
30965746,-13.5318523,-71.9693009,3,,POINT (-71.96930089999999 -13.5318523)
30965747,-13.5319728,-71.970187,4,,POINT (-71.970187 -13.5319728)
30965748,-13.5320747,-71.9707591,4,,POINT (-71.9707591 -13.5320747)
