osmid,y,x,street_count,highway,geometry
5628741810,-13.5265441,-71.958529,4,,POINT (-71.958529 -13.5265441)
5600979122,-13.5430592,-71.940976,3,,POINT (-71.94097600000001 -13.5430592)
31000753,-13.5352306,-71.9696652,3,,POINT (-71.96966519999999 -13.5352306)
5600979126,-13.5443796,-71.9413495,1,,POINT (-71.9413495 -13.5443796)
30970885,-13.5404853,-71.9153744,4,,POINT (-71.9153744 -13.5404853)
30970886,-13.5398574,-71.9153446,3,,POINT (-71.9153446 -13.5398574)
3251923139,-13.5242288,-71.9727581,3,,POINT (-71.97275809999999 -13.5242288)
31000774,-13.5366801,-71.9631791,3,,POINT (-71.9631791 -13.5366801)
31000781,-13.5379785,-71.9624525,3,,POINT (-71.9624525 -13.5379785)
31000783,-13.5372002,-71.9617833,3,,POINT (-71.96178329999999 -13.5372002)
3293620432,-13.5278274,-71.9431534,3,,POINT (-71.9431534 -13.5278274)
31000785,-13.5370104,-71.9622977,3,,POINT (-71.96229769999999 -13.5370104)
31000790,-13.5371068,-71.9633341,4,,POINT (-71.9633341 -13.5371068)
31000792,-13.5376217,-71.9619456,3,,POINT (-71.96194560000001 -13.5376217)
31000802,-13.5380973,-71.9637216,4,,POINT (-71.9637216 -13.5380973)
31000803,-13.538425,-71.9628569,4,,POINT (-71.96285690000001 -13.538425)
31000806,-13.5385437,-71.9638962,3,,POINT (-71.96389619999999 -13.5385437)
10938632423,-13.5700963,-71.8284772,3,,POINT (-71.82847719999999 -13.5700963)
30984427,-13.528536,-71.9638533,3,,POINT (-71.9638533 -13.528536)
31000815,-13.5393265,-71.9641787,4,,POINT (-71.96417870000001 -13.5393265)
472606965,-13.5325066,-71.9605315,3,,POINT (-71.9605315 -13.5325066)
472606966,-13.5325807,-71.9605445,3,,POINT (-71.9605445 -13.5325807)
472606967,-13.5327117,-71.960577,4,,POINT (-71.960577 -13.5327117)
31000824,-13.539707,-71.9643376,4,,POINT (-71.96433759999999 -13.539707)
10839009531,-13.5243586,-71.9778944,5,,POINT (-71.9778944 -13.5243586)
4937623804,-13.5241308,-71.9803776,3,,POINT (-71.9803776 -13.5241308)
472606973,-13.5352373,-71.9613653,4,,POINT (-71.9613653 -13.5352373)
5599365372,-13.532727,-71.9172336,3,,POINT (-71.9172336 -13.532727)
472606976,-13.5358539,-71.9618608,4,,POINT (-71.9618608 -13.5358539)
472606977,-13.5363156,-71.9620459,3,,POINT (-71.96204590000001 -13.5363156)
472606978,-13.5366712,-71.9611118,3,,POINT (-71.9611118 -13.5366712)
472606980,-13.5369434,-71.961139,4,,POINT (-71.961139 -13.5369434)
472606984,-13.5377406,-71.958739,3,,POINT (-71.95873899999999 -13.5377406)
472606986,-13.5381406,-71.961625,3,,POINT (-71.961625 -13.5381406)
472606987,-13.5380995,-71.9614792,3,,POINT (-71.9614792 -13.5380995)
472606989,-13.5378345,-71.9613172,3,,POINT (-71.9613172 -13.5378345)
472606990,-13.537388,-71.9612055,3,,POINT (-71.96120550000001 -13.537388)
2988468496,-13.5507165,-71.8845969,3,,POINT (-71.88459690000001 -13.5507165)
2988468499,-13.5512948,-71.8847569,3,,POINT (-71.8847569 -13.5512948)
2988468500,-13.5515011,-71.884347,3,,POINT (-71.88434700000001 -13.5515011)
10240076061,-13.5304982,-71.9601143,3,,POINT (-71.9601143 -13.5304982)
10240076062,-13.5304737,-71.9597088,4,,POINT (-71.9597088 -13.5304737)
472607010,-13.5385567,-71.9743605,3,,POINT (-71.9743605 -13.5385567)
472607035,-13.5347428,-71.9636766,4,,POINT (-71.9636766 -13.5347428)
472607037,-13.5255421,-71.9525259,3,,POINT (-71.9525259 -13.5255421)
6475270463,-13.5473895,-71.8856221,3,,POINT (-71.88562210000001 -13.5473895)
993167684,-13.5263343,-71.9785597,3,,POINT (-71.97855970000001 -13.5263343)
31000903,-13.5360813,-71.971395,3,,POINT (-71.971395 -13.5360813)
31000906,-13.5373422,-71.9713993,3,,POINT (-71.9713993 -13.5373422)
10809698645,-13.5239558,-71.9734231,3,,POINT (-71.97342310000001 -13.5239558)
31000919,-13.5398548,-71.9715067,3,,POINT (-71.97150670000001 -13.5398548)
3257420132,-13.5343958,-71.939256,4,,POINT (-71.939256 -13.5343958)
2015930724,-13.5117134,-71.9856402,3,,POINT (-71.98564020000001 -13.5117134)
1004136807,-13.539113,-71.9092591,4,,POINT (-71.9092591 -13.539113)
10817726828,-13.5469783,-71.8863837,1,,POINT (-71.8863837 -13.5469783)
31000951,-13.5395987,-71.9712115,3,,POINT (-71.9712115 -13.5395987)
1004136824,-13.5334311,-71.9225094,4,,POINT (-71.9225094 -13.5334311)
993167737,-13.5255663,-71.9796504,3,,POINT (-71.9796504 -13.5255663)
31000965,-13.5387522,-71.9720226,3,,POINT (-71.9720226 -13.5387522)
31000967,-13.5393977,-71.9709981,3,,POINT (-71.9709981 -13.5393977)
1004136841,-13.5348945,-71.9123595,4,,POINT (-71.91235949999999 -13.5348945)
30984585,-13.5291027,-71.9595891,4,traffic_signals,POINT (-71.9595891 -13.5291027)
993167755,-13.5232294,-71.9840128,4,,POINT (-71.9840128 -13.5232294)
31000971,-13.5385726,-71.973289,3,,POINT (-71.97328899999999 -13.5385726)
31000975,-13.5385535,-71.9738064,3,,POINT (-71.9738064 -13.5385535)
31000976,-13.5362692,-71.9743552,3,,POINT (-71.97435520000001 -13.5362692)
31000980,-13.5348878,-71.9759953,3,,POINT (-71.97599529999999 -13.5348878)
993167767,-13.5254718,-71.9836648,4,traffic_signals,POINT (-71.9836648 -13.5254718)
2015930778,-13.5098049,-71.9880608,3,,POINT (-71.9880608 -13.5098049)
31000990,-13.5374079,-71.9743716,4,,POINT (-71.9743716 -13.5374079)
4427123103,-13.5472295,-71.8959624,3,,POINT (-71.8959624 -13.5472295)
4703660453,-13.5312741,-71.9022412,3,,POINT (-71.90224120000001 -13.5312741)
31000997,-13.5374454,-71.9732527,4,,POINT (-71.9732527 -13.5374454)
4703660455,-13.5334187,-71.9032219,3,,POINT (-71.90322190000001 -13.5334187)
1004136874,-13.5371608,-71.9120063,3,,POINT (-71.9120063 -13.5371608)
2640595370,-13.5266741,-71.950912,1,,POINT (-71.950912 -13.5266741)
2640595373,-13.5268681,-71.950298,3,,POINT (-71.950298 -13.5268681)
10770131374,-13.5352798,-71.9636512,3,,POINT (-71.9636512 -13.5352798)
10770131375,-13.5356683,-71.9637849,3,,POINT (-71.96378489999999 -13.5356683)
4703660465,-13.5435181,-71.9595698,3,,POINT (-71.9595698 -13.5435181)
4428261815,-13.5070674,-72.0008092,3,,POINT (-72.00080920000001 -13.5070674)
6238316983,-13.5423806,-71.9029885,3,,POINT (-71.90298850000001 -13.5423806)
4428261818,-13.5067649,-72.0022265,3,,POINT (-72.00222650000001 -13.5067649)
