osmid,street_count,highway,ref,geometry,courthouse_osmid,courthouse_dist
494615979,4,,,POINT (-77.057766 -12.0558074),3965041957,0.020695182077473253
3736714672,3,,,POINT (-76.9982801 -11.9886011),437868020,0.01889887870650202
2549104054,3,,,POINT (-77.1024649 -11.9996931),465071802,0.04215768874134318
263110071,4,traffic_signals,,POINT (-77.0533806 -12.0930397),5527853721,0.019773987108824834
589643195,4,,,POINT (-77.0964774 -12.0841056),5527853721,0.05652898456517678
821378495,4,,,POINT (-77.0106837 -12.0306757),5519669522,0.022963632318297754
4168498627,3,,,POINT (-77.00417400000001 -12.0762786),4818433021,0.027547197070124613
471055814,4,traffic_signals,,POINT (-76.94606159999999 -12.0626995),3949420739,0.021182746015809155
1273839048,4,,,POINT (-76.92349160000001 -12.1971443),5145408791,0.0289817019577772
1273740745,3,,,POINT (-76.9751278 -12.2064164),6695199631,0.023516209442848955
1330494940,3,,,POINT (-77.05667870000001 -11.9674556),301604752,0.02155196692904057
4168498654,4,,,POINT (-77.006629 -12.0767792),4469386913,0.02821858734965048
4343315955,3,,,POINT (-77.1515261 -12.0638895),465071802,0.08656220504047077
410467828,3,,,POINT (-76.98312110000001 -12.1502184),408686631,0.030273348261038356
410467829,3,motorway_junction,10D,POINT (-76.98277040000001 -12.1491228),408686631,0.030284656588827126
4337745397,3,,,POINT (-77.0973807 -12.0673393),465071802,0.04574884778047029
4337745396,3,,,POINT (-77.0973137 -12.0668893),465071802,0.04533636580414343
1273609719,3,,,POINT (-77.06920030000001 -11.8587372),679438717,0.05317175991560181
4554440197,3,,,POINT (-77.05605850000001 -12.0130105),808969919,0.014566503792084011
197672455,3,,,POINT (-77.04251499999999 -12.1190577),5527853721,0.008622508322990934
2209660424,4,,,POINT (-77.0487552 -12.0852612),4469386913,0.014850397343169744
1330494987,3,,,POINT (-77.0530613 -11.986436),301604752,0.006859002261112725
8357821969,3,,,POINT (-77.0244831 -11.8871723),679438717,0.007195323534605102
1379581461,4,,,POINT (-77.0500533 -12.0234267),465071802,0.02292176580460497
4368055832,3,,,POINT (-77.0928523 -12.0170781),465071802,0.023845817699943626
1379581468,3,motorway_junction,12B,POINT (-77.0588235 -12.0240914),465071802,0.014341831150979244
1273773597,4,,,POINT (-77.1644142 -11.7794008),679438717,0.1758140777746441
4356521503,4,,,POINT (-76.9546697 -12.050423),439195372,0.010459363886003251
471580193,3,motorway_junction,1D,POINT (-76.9817 -12.0850198),4818433021,0.010565932652634853
4333190690,4,traffic_signals,,POINT (-77.1252665 -11.980375),301604752,0.06631536473235836
1379581479,3,,,POINT (-77.0589221 -12.0250612),465071802,0.013937949552686209
1379581484,3,,,POINT (-77.05829079999999 -12.0259924),465071802,0.014312398193584602
108215859,3,,,POINT (-77.03992839999999 -12.1043623),5527853721,0.010429618655543598
1379581492,3,,,POINT (-77.0586029 -12.0268673),465071802,0.013839910452754376
4375920182,3,,,POINT (-76.9735986 -12.1987949),6695199631,0.021354824884560364
1330495031,4,,,POINT (-77.0573315 -11.9878158),301604752,0.0023833530657313526
1330495032,3,,,POINT (-77.05816230000001 -11.9820068),301604752,0.006944811394959109
108215862,4,,,POINT (-77.0415953 -12.1039721),5527853721,0.009656611362688675
1379581500,3,,,POINT (-77.05846080000001 -12.0272755),465071802,0.013920691944781233
1330495037,3,,,POINT (-77.0564978 -11.9804527),301604752,0.008889759096103445
4379328062,3,,,POINT (-76.7078164 -11.9435641),487183431,0.07095995128261907
4379328063,3,,,POINT (-76.7073201 -11.94344),487183431,0.07145802631144342
108215865,4,,,POINT (-77.0433075 -12.1035752),5527853721,0.009129056154937755
4379328065,3,,,POINT (-76.7053245 -11.9429411),487183431,0.07346259198227616
