osmid,street_count,highway,ref,geometry,police_osmid,police_dist,police_nearestnode
263116142,4,,,POINT (-77.02635770000001 -12.0879791),319331711,0.004721074889983681,263122105
4266808690,4,,,POINT (-77.0179653 -12.1337393),436581955,0.009782420493496952,391020638
263116143,3,,,POINT (-77.0265789 -12.0864241),319331711,0.0031513754736122424,263122105
263116139,4,,,POINT (-77.026038 -12.0902505),437508566,0.0069703816800137115,316625302
263116141,4,,,POINT (-77.0262455 -12.0887287),319331711,0.005478878494507735,263122105
1273484662,3,,,POINT (-76.9207253 -12.0352381),318783827,0.009160917380536992,4276497606
4512339318,3,,,POINT (-76.9053261 -12.0282818),318783827,0.014338243036925297,4276497606
5066872185,3,,,POINT (-77.0868622 -11.955543),319335083,0.01742841812212573,1305383006
1273943418,3,,,POINT (-77.0056974 -11.9523005),4444185291,0.009296651020663032,3700156125
2133022075,3,,,POINT (-77.0181826 -12.1883197),318966590,0.006176849970332929,859740377
4341257597,3,,,POINT (-77.11241769999999 -12.0496855),319641192,0.027978432950880986,317337823
4266808702,3,,,POINT (-77.01795250000001 -12.1346932),436581955,0.009715000470812005,391020638
4266808707,4,,,POINT (-77.0178147 -12.1358278),436581955,0.009634570433719266,391020638
4226733444,3,,,POINT (-77.0141727 -12.1892729),318963040,0.00705311911095232,3754884230
4266808709,4,,,POINT (-77.01789960000001 -12.139033),318792235,0.008646841322821648,391009544
4266808708,4,,,POINT (-77.01791710000001 -12.1358287),436581955,0.009736460844715224,391020638
4512339336,3,,,POINT (-76.9007838 -12.0276138),318783827,0.018778941556978918,4276497606
306763146,4,,,POINT (-77.12167289999999 -12.0582229),319641192,0.031040054845305327,317337823
2989741451,4,,,POINT (-76.8642724 -12.0029649),307650990,0.024140261831482848,3251640269
4341257611,3,,,POINT (-77.1147055 -12.0498856),319641192,0.02949227113485608,317337823
4785198477,4,,,POINT (-76.87424059999999 -12.1108601),319473763,0.006939485193130513,4785198651
4785198476,4,,,POINT (-76.8748841 -12.1085793),319473763,0.009153193230177992,4785198651
1557222799,3,,,POINT (-76.96898299999999 -11.7528844),318807571,0.12232498563586565,5762617152
4226733456,3,,,POINT (-77.01425209999999 -12.1893411),318963040,0.007156102442446176,3754884230
4226733457,3,,,POINT (-77.01422460000001 -12.1893136),318963040,0.007118467421212483,3754884230
2989741459,4,,,POINT (-76.8535128 -12.0005647),4408240090,0.02686266067109293,4288415431
316757396,4,,,POINT (-77.0155285 -12.1438269),318792235,0.007456676059201317,391009544
593974677,4,,,POINT (-77.044443 -12.0593098),75223311,0.0038472331689797436,107772857
593974678,4,,,POINT (-77.0445088 -12.0593876),75223311,0.00394099171319025,107772857
593974679,4,,,POINT (-77.04726220000001 -12.0626373),4154554391,0.004450396521651568,819211251
593974680,3,,,POINT (-77.0480597 -12.0616268),4154554391,0.003579223952201133,819211251
593974681,4,,,POINT (-77.0458802 -12.0589738),5207243821,0.005062981308472653,107772858
1754944922,3,,,POINT (-77.01701250000001 -12.0259797),319596622,0.0013209600668928065,6030015789
316757403,4,traffic_signals,,POINT (-77.01111830000001 -12.1474363),319716309,0.008277104641271814,1836892811
5066872219,3,,,POINT (-77.08553790000001 -11.9550538),319335083,0.017235981835967747,1305383006
593974685,4,,,POINT (-77.04719660000001 -12.0576255),435393802,0.005010964530973653,2053915153
316757405,4,,,POINT (-77.0154563 -12.1437601),318792235,0.007547147771778691,391009544
316757406,3,crossing,,POINT (-77.0154714 -12.1434902),318792235,0.007628840046470605,391009544
4332672411,3,,,POINT (-77.10407619999999 -12.065773),319641192,0.011912282756083126,317337823
4334474648,3,,,POINT (-77.0347908 -11.9010237),318900292,0.002572349687367893,4334474648
1572591010,3,,,POINT (-76.8724373 -12.2103653),8547110884,0.02233201209139559,1273456988
593974690,4,traffic_signals,,POINT (-77.03925169999999 -12.0578606),413025636,0.0007307096372687156,1856633179
593974693,3,,,POINT (-77.04726770000001 -12.0566608),435393802,0.004376340544956699,2053915153
593974694,4,,,POINT (-77.04714540000001 -12.0584921),4154554391,0.005580115962946343,819211251
1754944934,3,,,POINT (-77.0190975 -12.0261886),319596622,0.003409083710739502,6030015789
1754944935,3,,,POINT (-77.0195689 -12.0262381),319596622,0.003882406422077511,6030015789
2900121003,3,,,POINT (-77.1608688 -11.7698702),318783371,0.010421314565580792,5067664501
5437707692,4,,,POINT (-76.9430138 -12.1341778),319630403,0.015114172475725624,5468183282
