u,v,key,osmid,oneway,name,highway,length,geometry,maxspeed,lanes,ref,bridge,access,junction,tunnel,width
627835043,4268392982,0,435382179,False,Avenida La Paz,tertiary,88.92,"LINESTRING (-77.1223047 -12.0729262, -77.12154150000001 -12.0732134)",40,2,,,,,,
627835043,1175765831,0,1050733861,False,Avenida La Paz,tertiary,104.284,"LINESTRING (-77.1223047 -12.0729262, -77.12320080000001 -12.072592)",40,2,,,,,,
133922980,133922977,0,14073918,False,Avenida 28 de Julio,secondary,71.452,"LINESTRING (-77.03173769999999 -12.1259895, -77.0323439 -12.1257412)",45,3,,,,,,
133922980,133924286,0,14073918,False,Avenida 28 de Julio,secondary,113.304,"LINESTRING (-77.03173769999999 -12.1259895, -77.0307719 -12.1263725)",45,3,,,,,,
4927553711,316629519,0,502197218,True,Javier Luna Pizarro,tertiary,19.062,"LINESTRING (-77.0256431 -12.075558, -77.0255829 -12.075719)",,,,,,,,
5583110321,1258861874,0,110154260,False,Calle Chavin,residential,14.232,"LINESTRING (-77.0607483 -12.0042417, -77.06077070000001 -12.0041156)",40,,,,,,,
1273790642,1572590684,0,111938460,False,Avenida Unión,residential,81.346,"LINESTRING (-76.9269166 -12.2000189, -76.92652030000001 -12.2006395)",,2,,,,,,
1273790642,1273665241,0,111938460,False,Avenida Unión,residential,76.293,"LINESTRING (-76.9269166 -12.2000189, -76.92728820000001 -12.1994368)",,2,,,,,,
1273790642,1572589210,0,338216403,False,Avenida General Vidal,residential,152.994,"LINESTRING (-76.9269166 -12.2000189, -76.9257053 -12.1993179)",,2,,,,,,
1273790642,1273624964,0,338216403,False,Avenida General Vidal,residential,91.033,"LINESTRING (-76.9269166 -12.2000189, -76.9276303 -12.2004474)",,2,,,,,,
1746075826,1746075803,0,991063653,True,,tertiary,17.183,"LINESTRING (-76.94761219999999 -12.0257511, -76.9476275 -12.0255973)",,,,,,,,
4948000948,3441896415,0,279117089,True,Avenida Alipio Ponce,secondary,94.646,"LINESTRING (-76.9803177 -12.1705066, -76.9802916 -12.1704582, -76.9800023 -12.1699447, -76.97989219999999 -12.1697641)",50,2,,,,,,
4948000948,1827864339,0,"[338348565, 370214813, 389882614]",True,"['Alipio Ponce', 'Via de ingreso al Triunfo']",secondary_link,75.35,"LINESTRING (-76.9803177 -12.1705066, -76.98019480000001 -12.1704374, -76.980136 -12.1704251, -76.98009 -12.1704234, -76.98003629999999 -12.1704306, -76.97998680000001 -12.1704521, -76.9799374 -12.1704915, -76.9799134 -12.1705458, -76.97989389999999 -12.1706082, -76.97984889999999 -12.1707438)",,1,,,,,,
1746075828,1746075873,0,162786266,False,,residential,83.775,"LINESTRING (-76.9500963 -12.0261323, -76.9500025 -12.0268801)",,,,,,,,
842596534,842596538,0,70608155,False,Las Amapolas,residential,97.544,"LINESTRING (-77.0534396 -11.9981801, -77.0525428 -11.9981741)",,,,,,,,
3738206393,3738206362,0,370097526,False,Calle Las Poncianas,residential,134.602,"LINESTRING (-76.9168152 -11.9778837, -76.9169218 -11.9766777)",,,,,,,,
3738206393,3738206411,0,833348664,False,Calle Los Cipreses,residential,78.052,"LINESTRING (-76.9168152 -11.9778837, -76.9165983 -11.9785528)",,,,,,,,
4329570490,1044543054,0,40743610,True,Carretera Panamericana Norte,trunk,140.716,"LINESTRING (-77.15457139999999 -11.7849227, -77.1545338 -11.7849597, -77.1536594 -11.7858196)",90,3,PE-1N,,,,,
1273462969,1569002447,0,413205783,False,Avenida Las Torres,residential,115.881,"LINESTRING (-77.0917975 -11.9556031, -77.0923421 -11.9555493, -77.09261410000001 -11.9555178, -77.09285559999999 -11.9554839)",40,,,,,,,
1273462969,1569002454,0,413205783,False,Avenida Las Torres,residential,136.16799999999998,"LINESTRING (-77.0917975 -11.9556031, -77.0911526 -11.9556762, -77.09106250000001 -11.9556872, -77.09099399999999 -11.9557023, -77.0909242 -11.9557239, -77.09084679999999 -11.955756, -77.0907656 -11.9557807, -77.09069049999999 -11.9557961, -77.0905683 -11.9558041)",40,,,,,,,
842596538,842596534,0,70608155,False,Las Amapolas,residential,97.544,"LINESTRING (-77.0525428 -11.9981741, -77.0534396 -11.9981801)",,,,,,,,
842596538,842596549,0,449776612,False,Calle Los Gladiolos,residential,50.439,"LINESTRING (-77.0525428 -11.9981741, -77.0525456 -11.9977205)",,,,,,,,
3740696772,2969206645,0,284938185,False,Avenida José Quiñones,tertiary,127.888,"LINESTRING (-76.8735173 -12.2100957, -76.87401730000001 -12.2101649, -76.8746869 -12.2102174)",,2,,,,,,
3740696772,1572591010,0,284938185,False,Avenida José Quiñones,tertiary,129.35999999999999,"LINESTRING (-76.8735173 -12.2100957, -76.87300689999999 -12.2100304, -76.87292100000001 -12.2100416, -76.8728572 -12.2100641, -76.8727817 -12.2101116, -76.8724373 -12.2103653)",,2,,,,,,
842596549,842596538,0,449776612,False,Calle Los Gladiolos,residential,50.439,"LINESTRING (-77.0525456 -11.9977205, -77.0525428 -11.9981741)",,,,,,,,
842596549,1332056924,0,449776613,True,Avenida Los Pinos,tertiary,86.968,"LINESTRING (-77.0525456 -11.9977205, -77.0533451 -11.9977323)",40,2,,,,,,
842596549,842607545,0,633497621,False,Avenida Los Pinos,tertiary,52.524,"LINESTRING (-77.0525456 -11.9977205, -77.05206269999999 -11.997723)",40,2,,,,,,
3740696777,3740696790,0,370355426,False,Avenida Bolognesi,residential,159.487,"LINESTRING (-76.87491319999999 -12.2118586, -76.8759036 -12.2108002)",,2,,,,,,
3740696777,3740696779,0,338770596,False,Avenida Pachacutec,secondary,86.672,"LINESTRING (-76.87491319999999 -12.2118586, -76.87543770000001 -12.2123252, -76.8755044 -12.2123817)",60,,LM-797,,,,,
4948000970,4948000948,0,163714699,True,Avenida Los Cedros,tertiary,50.73,"LINESTRING (-76.9803313 -12.1709561, -76.9803376 -12.1709147, -76.9803416 -12.1708596, -76.98032550000001 -12.17076, -76.9803045 -12.1706738, -76.9802984 -12.1705828, -76.9803177 -12.1705066)",,,,,,,,
3740696779,3740696777,0,338770596,False,Avenida Pachacutec,secondary,86.672,"LINESTRING (-76.8755044 -12.2123817, -76.87543770000001 -12.2123252, -76.87491319999999 -12.2118586)",60,,LM-797,,,,,
3740696779,1572589467,0,338770596,False,Avenida Pachacutec,secondary,237.25300000000001,"LINESTRING (-76.8755044 -12.2123817, -76.87679319999999 -12.2134736, -76.8769934 -12.2136917, -76.8771138 -12.2138194)",60,,LM-797,,,,,
1273921739,4331501992,0,784068021,True,Avenida Elmer Faucett,primary,166.675,"LINESTRING (-77.09739639999999 -12.0591705, -77.0975339 -12.0576776)",60,2,,,,,,
3738206411,3738206527,0,833348664,False,Calle Los Cipreses,residential,166.308,"LINESTRING (-76.9165983 -11.9785528, -76.9160401 -11.9799452)",,,,,,,,
3738206411,3738206393,0,833348664,False,Calle Los Cipreses,residential,78.052,"LINESTRING (-76.9165983 -11.9785528, -76.9168152 -11.9778837)",,,,,,,,
263389391,263389392,0,317315323,True,Avenida General Garzón,secondary,140.325,"LINESTRING (-77.0527302 -12.0759211, -77.0519232 -12.0749363)",40,3,,,,,,
263389392,263392919,0,336172248,True,Avenida Afranio de Mello Franco,tertiary,138.794,"LINESTRING (-77.0519232 -12.0749363, -77.0529117 -12.0741466)",35,2,,,,,,
263389392,263389393,0,317315323,True,Avenida General Garzón,secondary,140.869,"LINESTRING (-77.0519232 -12.0749363, -77.05117389999999 -12.0740285, -77.0511095 -12.0739505)",40,3,,,,,,
263389393,263388533,0,317315325,True,Jirón Mariscal Toribio Luzuriaga,residential,110.78,"LINESTRING (-77.0511095 -12.0739505, -77.0510249 -12.0740178, -77.050319 -12.074579)",30,,,,,,,
263389393,263389394,0,317315326,True,Avenida General Garzón,secondary,142.14700000000002,"LINESTRING (-77.0511095 -12.0739505, -77.05105330000001 -12.0738829, -77.050257 -12.0729814)",40,4,,,,,,
263389394,263400735,0,321396551,True,Avenida General Garzón,secondary,138.63,"LINESTRING (-77.050257 -12.0729814, -77.04952400000001 -12.07209, -77.0494581 -12.0720098)",40,4,,,,,,
263389394,2068555267,0,331465992,True,Avenida República Dominicana,tertiary,87.981,"LINESTRING (-77.050257 -12.0729814, -77.0503533 -12.0729086, -77.0508901 -12.0724887)",,2,,,,,,
821756112,1941643033,0,427895298,False,Jirón Los Liquenes,tertiary,65.008,"LINESTRING (-77.0047046 -12.0173985, -77.0041142 -12.0174898)",30,2,,,,,,
821756112,821755929,0,68212692,False,Jirón Los Liquenes,tertiary,189.296,"LINESTRING (-77.0047046 -12.0173985, -77.0051981 -12.0173142, -77.00524849999999 -12.0173097, -77.0052877 -12.0173107, -77.0053834 -12.0173231, -77.0054727 -12.0173483, -77.0055577 -12.0173862, -77.0056556 -12.0174354, -77.0062281 -12.0177888, -77.0062954 -12.0178307)",50,2,,,,,,
3738206418,4286720202,0,315561704,False,,residential,131.838,"LINESTRING (-76.9038796 -11.9787371, -76.90275579999999 -11.978293)",,,,,,,,
263389397,263388538,0,324604609,True,Jirón General Canterac,residential,112.414,"LINESTRING (-77.04784770000001 -12.070033, -77.0470571 -12.0706844)",40,,,,,,,
263389397,263389398,0,324604610,True,Avenida General Garzón,secondary,137.557,"LINESTRING (-77.04784770000001 -12.070033, -77.0471052 -12.0691309, -77.04705800000001 -12.0690667)",50,4,,,,,,
263389398,263389399,0,321396550,True,Avenida General Garzón,secondary,142.393,"LINESTRING (-77.04705800000001 -12.0690667, -77.0469726 -12.0689744, -77.04623170000001 -12.0680735)",40,4,,,,,,
263389398,263402345,0,321396556,True,Jirón Talara,residential,141.48399999999998,"LINESTRING (-77.04705800000001 -12.0690667, -77.0479954 -12.0683035, -77.04805709999999 -12.0682516)",30,2,,,,,,
