osmid,street_count,highway,ref,geometry,bank_osmid,bank_dist,bank_nearestnode
6016375927,4,traffic_signals,,POINT (-77.125271 -11.9805161),5064371778,0.03637187948745707,1384280732
2832348509,4,,,POINT (-77.05043019999999 -11.940567),436597158,0.0006093416511823372,2832348509
4365491326,3,,,POINT (-76.99825490000001 -11.9886485),437497390,0.00940693990932166,817764549
2832348510,4,,,POINT (-77.05035789999999 -11.9406546),436597158,0.0006276887564754464,2832348509
108240021,3,,,POINT (-77.0430877 -12.1189514),436757177,0.0027789412283278398,262724148
4356119706,3,,,POINT (-76.9489634 -12.0358898),4949862124,0.005721757649535128,1577492163
2974719142,4,,,POINT (-76.9030075 -12.0125104),4374915665,0.0049813816045325724,2887158611
2974719148,3,,,POINT (-76.9212486 -12.0031483),7516064786,0.022655733900494544,1575898153
632069293,3,,,POINT (-77.1423322 -12.0562371),2725999757,0.04543156791185432,4332629094
2974719152,4,,,POINT (-76.9162044 -11.9988087),4374915665,0.024000903869017032,2887158611
4343012535,3,,,POINT (-77.05885360000001 -12.102244),5812604955,0.0013693072774266849,262727976
2469993656,3,,,POINT (-77.0620618 -12.0087353),3604565389,0.0014439866100474034,2469993750
821402817,4,,,POINT (-77.0005134 -12.0248672),4873144821,0.0004900814320105787,821402822
9029262529,3,,,POINT (-76.8183049 -12.0162913),4378103036,0.005139751240094749,1745866411
821402819,4,,,POINT (-76.99993430000001 -12.0274095),4862900921,0.002067926616202113,821398636
821402820,4,,,POINT (-77.0000419 -12.0268924),4862900921,0.0015497061011689904,821398636
821402821,4,,,POINT (-77.00027059999999 -12.025865),4873144821,0.0005510307886137276,821402822
821402822,4,traffic_signals,,POINT (-77.0003925 -12.0253796),4873144821,9.287033971382872e-05,821402822
9029262533,3,,,POINT (-76.8334231 -12.0107391),457362186,0.006709225496179925,4378173899
821402824,3,,,POINT (-77.000846 -12.0231203),4916727122,0.0021934030933661477,821398647
4282227907,3,,,POINT (-76.95793569999999 -12.128598),6933311385,0.01701030153819171,421242171
1804901584,3,,,POINT (-76.991862 -12.0147146),437360394,0.010728070682932274,493839484
1273732308,4,,,POINT (-76.9456005 -12.1465581),7027416494,0.015607640827494334,1715696609
1804901591,3,,,POINT (-76.99703510000001 -12.0147477),437360394,0.005689591439283692,493839484
3023740122,3,,,POINT (-77.0865263 -12.0886634),7394061085,0.00834469539288402,316802800
1727274204,3,,,POINT (-76.9595944 -12.161835),7027431811,0.00343310696162735,1573382772
3023740129,3,,,POINT (-77.0853549 -12.0892023),7394061085,0.008333068962273166,316802800
416652514,4,,,POINT (-77.0132467 -12.0570884),4354473098,0.005121052963015539,4354479070
3023740130,3,,,POINT (-77.0862296 -12.0887999),7394061085,0.008322886188094,316802800
3023740132,3,,,POINT (-77.0859375 -12.0889343),7394061085,0.008313916004507364,316802800
5027405030,3,,,POINT (-77.0081562 -11.863619),4574298791,0.012626300356398924,1814195041
416652519,3,,,POINT (-77.0231301 -12.0601569),5156149325,0.003875054225428182,1354143316
416652521,3,,,POINT (-77.0238798 -12.0584703),5156149325,0.0021354407601245533,1354143316
416652522,3,,,POINT (-77.0238368 -12.0592739),5156149325,0.0027441195600817875,1354143316
416652523,4,,,POINT (-77.0237849 -12.0601382),5156149325,0.003491417663361737,1354143316
1727274220,3,,,POINT (-76.95991239999999 -12.1626548),7027431811,0.0031096961989910076,1573382772
1804901612,3,,,POINT (-76.9944916 -12.0152952),437360394,0.008282908015109922,493839484
4578581741,3,,,POINT (-77.0503755 -12.0864269),4042420888,0.003337792325771632,263109777
416652524,4,,,POINT (-77.0237329 -12.0610858),5166749121,0.004358687391865971,8272363795
1804901620,3,,,POINT (-76.99448700000001 -12.0154423),437360394,0.008328988211409608,493839484
4865137909,3,,,POINT (-76.93838390000001 -12.1334716),7027416494,0.03050443366020555,1715696609
416652534,4,,,POINT (-77.024541 -12.0602216),5166749121,0.0032564342907549933,8272363795
5027405046,3,,,POINT (-77.00660790000001 -11.8611091),4574298791,0.015570576141232645,1814195041
416652536,3,,,POINT (-77.0247851 -12.0585868),5156149325,0.0016503643779491551,1354143316
3213073656,4,,,POINT (-76.97184679999999 -11.940089),437508598,0.015529573282115338,1343447399
416652538,4,,,POINT (-77.0266733 -12.0588292),5166749121,0.0020315280997326157,8272363795
9143819511,3,,,POINT (-76.89285719999999 -12.042974),439816323,0.02759403861506,2887143235
416652540,3,,,POINT (-77.02654 -12.0601317),4351715001,0.003022534314119393,486243091
3213073660,3,,,POINT (-76.9725208 -11.9388036),437508598,0.015713096854042784,1343447399
1273765116,3,,,POINT (-76.9522479 -12.1570954),7027416494,0.003233994850025729,1715696609
5574925559,3,,,POINT (-77.1307482 -11.8306457),4347967864,0.01629072115592165,4346787536
5574925568,3,,,POINT (-77.1351251 -11.8248917),4347967864,0.010815885378923982,4346787536
416652547,4,,,POINT (-77.0284241 -12.0587593),435477234,0.0013256793300013452,1354143288
416652548,4,,,POINT (-77.0283841 -12.0590476),435477234,0.001275597414685616,1354143288
416652549,3,,,POINT (-77.0282911 -12.0597336),435477234,0.0014115725566037716,1354143288
416652550,4,,,POINT (-77.0282089 -12.0603143),4351715001,0.0013478536456220539,486243091
