osmid,street_count,highway,ref,geometry,school_osmid,school_dist
3627352550,3,,,POINT (-76.9725002 -12.0675289),439956585,0.0016196443521084276
442761704,3,traffic_signals,,POINT (-76.9993765 -12.1394529),5597276259,0.0012959184002119715
3736732137,3,,,POINT (-77.0636873 -11.9897349),5576810989,0.0015131025411449553
263389679,4,,,POINT (-77.058302 -12.080689),474681060,0.0003214286236331953
4406378995,3,,,POINT (-77.0258346 -12.036073),5593324053,0.00035345565492452555
914293237,3,,,POINT (-76.8580692 -12.2291742),445592450,0.0004254034818711251
263389687,4,,,POINT (-77.0521074 -12.0831883),436301901,0.0013572345981317767
263389688,4,,,POINT (-77.0505981 -12.0826054),436575404,0.001493757256842111
263389689,3,,,POINT (-77.0497112 -12.0822705),436575404,0.0005890545475696552
3736732154,4,,,POINT (-77.06161350000001 -12.0083371),440260233,0.0019488083842162697
263389691,4,traffic_signals,,POINT (-77.0487862 -12.0820081),436575404,0.0004800101194749706
3736732156,4,,,POINT (-77.0615236 -12.0088528),440260233,0.0022342977637719243
182419965,3,,,POINT (-76.6791102 -11.9230453),4962167024,0.004145802316801688
263389694,3,,,POINT (-77.0477825 -12.0819759),436575404,0.0013945563219646816
263389695,3,,,POINT (-77.04761449999999 -12.0819909),436575404,0.0015536692635769191
412189184,3,,,POINT (-77.0226057 -12.0764836),447103579,0.0010303093199774788
263389697,3,,,POINT (-77.04697040000001 -12.0821193),2090582884,0.0016408310851541866
412189186,4,,,POINT (-77.0233942 -12.0749051),5594724723,0.001502141887443886
4234707459,4,,,POINT (-76.9367543 -12.2131886),5597148172,0.0007340561627046586
1273758211,4,,,POINT (-76.9635629 -12.1328088),5597197742,0.0004076029931201229
3736732158,4,,,POINT (-77.0898873 -12.0116179),5562852057,0.00319244012629642
4276978176,4,,,POINT (-77.0860749 -12.0874256),435188006,0.0006976830659808554
3738206731,3,,,POINT (-76.8957588 -11.98595),4955205324,0.0034558990624775983
627835408,3,,,POINT (-77.1228576 -12.0719839),436257932,0.014428494459025807
3738206739,3,,,POINT (-76.92393060000001 -11.9860505),5596737396,0.0049704299391508345
3738206740,3,,,POINT (-76.8364728 -11.9869823),4423757689,0.0018997676199976102
1273889301,3,,,POINT (-77.0038413 -12.20349),5256383326,0.0013820732614461845
4268392982,3,,,POINT (-77.12154150000001 -12.0732134),436257932,0.012775034245132095
6032949785,3,,,POINT (-77.0486313 -11.9772608),5576366096,0.00045736858222124283
4357685789,4,,,POINT (-77.01325420000001 -11.9822273),5595325145,0.0006405449320703272
263389729,4,traffic_signals,,POINT (-77.0487808 -12.0818756),436575404,0.0005841654554026031
1273594402,4,,,POINT (-76.93899020000001 -12.1340568),446932300,0.0022512168566676998
8978825764,3,,,POINT (-76.9811521 -12.0477157),5597170227,0.0012249339247434148
263389733,4,,,POINT (-77.0521648 -12.0830692),436301901,0.0012514262904477448
1399063080,4,,,POINT (-77.0564677 -12.0579566),2054044576,0.001777703251394484
462979629,3,,,POINT (-77.0815363 -12.0775011),242947331,0.0023546585650017133
1399063094,4,,,POINT (-77.0545485 -12.062655),5577341969,0.00044032698077635493
1951269430,3,,,POINT (-77.0026824 -11.9962517),1966842469,0.0016160075494924143
611484217,3,,,POINT (-77.0837021 -12.0780594),5567128890,0.0030155649188864054
1399063099,4,,,POINT (-77.0569026 -12.0610791),2054044558,0.0008757108940755697
821756480,4,,,POINT (-77.01209950000001 -12.0177061),1966842392,0.00041899862768078735
847512129,4,,,POINT (-77.0931458 -12.0296398),5562862376,0.00240526942358142
847512130,4,,,POINT (-77.0929357 -12.0291617),5562862376,0.0018835300103806057
847512131,4,,,POINT (-77.0927416 -12.0286733),5562862376,0.0013605802475418639
847512132,4,,,POINT (-77.0932825 -12.0299914),5565273233,0.002586425177729443
847512133,4,,,POINT (-77.0876943 -12.0292098),5565257226,0.0014250393012057848
