osmid,y,x,highway,street_count,geometry,bank_amenity,bank_node,bank_dist,courthouse_amenity,courthouse_node,courthouse_dist,hospital_amenity,hospital_node,hospital_dist,marketplace_amenity,marketplace_node,marketplace_dist,police_amenity,police_node,police_dist,school_amenity,school_node,school_dist,university_amenity,university_node,university_dist
5497529777,-11.9878393,-76.8203041,,4,POINT (-76.8203041 -11.9878393),1863374455,331604739,5345.572,487183431,1524458694,5692.545,483500696,4762470517,873.041,483500666,8858981459,271.99399999999997,4423758389,1273621776,305.961,5596759264,1273880291,156.437,,,
5497529778,-11.9856991,-76.817512,,4,POINT (-76.81751199999999 -11.9856991),1863374455,331604739,5030.541000000001,487183431,1524458694,5377.514000000001,483500696,4762470517,604.269,483500666,8858981459,317.69100000000003,4423758389,1273621776,556.57,483500656,1273489510,225.537,,,
5497530474,-11.9935914,-76.8178278,,1,POINT (-76.8178278 -11.9935914),1863374455,331604739,6370.846,487183431,1524458694,6717.8189999999995,483500696,4762470517,1966.7610000000002,483490600,1273537082,693.609,4423758389,1273621776,1411.2770000000003,5596759279,1570070705,503.404,,,
5497530481,-11.9945569,-76.824764,,1,POINT (-76.824764 -11.9945569),1863374455,331604739,6480.013,487183431,1524458694,6826.986,483500696,4762470517,2075.9280000000003,483490600,1273537082,1351.3909999999998,4423758389,1273621776,1520.4440000000004,5596759267,5400190647,602.6120000000001,,,
5497530486,-11.9924973,-76.8269669,,3,POINT (-76.8269669 -11.9924973),1863374455,331604739,6023.535999999999,487183431,1524458694,6370.508999999999,483500696,4762470517,1551.0049999999999,483490600,1273537082,1484.17,4423758389,1273621776,983.9249999999998,5596759267,5400190647,1674.9429999999998,,,
5497530494,-11.9930755,-76.8283501,,3,POINT (-76.82835009999999 -11.9930755),1863374455,331604739,6187.147,487183431,1524458694,6534.12,483500696,4762470517,1714.616,483490600,1273537082,1647.781,4423758389,1273621776,1147.536,5596759267,5400190647,1838.5539999999996,,,
5517917855,-11.9928459,-76.8204453,,3,POINT (-76.8204453 -11.9928459),1863374455,331604739,5533.499,487183431,1524458694,5880.472,483500696,4762470517,1129.4140000000002,483490600,1273537082,189.403,4423758389,1273621776,573.93,5596759271,4762329744,49.040000000000006,,,
5718654252,-11.9776573,-76.7834064,,3,POINT (-76.7834064 -11.9776573),1863374455,331604739,1112.182,487183431,1524458694,1459.155,483500696,4762470517,3575.4649999999997,818103399,1745790482,165.432,318959257,1273778804,2322.0289999999995,5596732107,5497407270,94.42699999999999,,,
5718654253,-11.9780446,-76.7833386,,4,POINT (-76.78333859999999 -11.9780446),1863374455,331604739,1068.638,487183431,1524458694,1415.6109999999999,483500696,4762470517,3547.1929999999998,818103399,1745790482,142.192,318959257,1273778804,2278.484999999999,5596732107,5497407270,50.734,,,
5718654254,-11.9756247,-76.7767085,,3,POINT (-76.7767085 -11.9756247),1863374455,331604739,391.073,487183431,1524458694,738.0459999999999,483500696,4762470517,4355.929,817953105,1745790471,746.508,318959257,1273778804,1600.9200000000003,5596732113,1745790456,117.931,,,
