osmid,ref,highway,street_count,geometry,NN,NN_dist
1273840556,,,1,POINT (-77.0901315 -11.8764605),1755199094,0.004962713194410698
1273847813,,,3,POINT (-77.0880987 -11.9368431),1273847813,0.0
1273850620,,,3,POINT (-77.0939166 -11.8423212),1756160948,0.001321506110466007
1273851968,,,4,POINT (-77.0940291 -11.840855),1756160948,0.0007248246477579353
1273870330,,,4,POINT (-77.0951529 -11.8387203),5483509195,0.0011183855551643916
1273871028,,crossing,3,POINT (-77.0679104 -11.9021376),273353510,0.00023303021263380963
1273872859,,,4,POINT (-77.0690026 -11.8874346),3122778538,0.000495541168831348
1273873943,,,3,POINT (-77.1073738 -11.8291769),2352414966,0.004459788363813105
1273875933,,,4,POINT (-77.06909570000001 -11.8846966),1755155612,0.00043040246282914597
1273885831,,,3,POINT (-77.1167222 -11.8286647),1756231361,0.0009417032919139016
1273887239,,,3,POINT (-77.10951300000001 -11.8309045),1756212128,0.002796888272700583
1273887241,,,3,POINT (-77.1142473 -11.8328709),1273887241,0.0
1273888634,,,3,POINT (-77.0863154 -11.9217675),1382724740,0.0016062395991906894
1273892375,,,3,POINT (-77.0905442 -11.8742052),1755199094,0.0037790079187485473
1273892730,,,3,POINT (-77.110736 -11.8244083),2352414979,0.0007224084855502837
1273899173,,,4,POINT (-77.08921650000001 -11.8539578),273403284,0.001386453035634802
1273916051,,,3,POINT (-77.08667149999999 -11.9217691),2978070749,0.001660953187179342
1273920924,,,3,POINT (-77.09620320000001 -11.8474537),1755339391,0.000663442371271869
1273926518,,,4,POINT (-77.1009535 -11.8323946),1756160792,0.005265773996294417
1273935586,,,3,POINT (-77.07811 -11.8620631),1273819524,0.000516309306521828
1273941432,,,3,POINT (-77.1084656 -11.8321226),1756212199,0.0030018273251497963
1273941534,,,3,POINT (-77.09047649999999 -11.8621931),1273941534,0.0
1273944427,,,1,POINT (-77.0690341 -11.8816094),1755155558,0.00028672636780892894
1273948276,,,3,POINT (-77.1039756 -11.8312258),1756160812,0.006509382358563312
1273953764,,,4,POINT (-77.0845157 -11.8569635),1273953764,0.0
1273953882,,,3,POINT (-77.0755569 -11.8688841),2182644641,0.00042061348052410284
1273956964,,,3,POINT (-77.10433449999999 -11.8435125),1756160958,0.002123898396811275
1273960647,,,1,POINT (-77.0888356 -11.8760107),1755199094,0.003910530894901437
1273962169,,,3,POINT (-77.08608479999999 -11.8570899),863427886,0.0009349422442034175
1273966828,,,4,POINT (-77.10525920000001 -11.823154),1273966828,0.0
1273971043,,,3,POINT (-77.0735935 -11.8711664),1273696269,0.0019280811004716949
1273971765,,,4,POINT (-77.1041537 -11.8233963),1273966828,0.0011317418168551646
1273971771,,,3,POINT (-77.0988138 -11.8334862),1756160792,0.0030837397506962767
1273972317,,,4,POINT (-77.1026998 -11.8342923),1756160834,0.004876461473245524
1273973800,,,3,POINT (-77.08975100000001 -11.8749854),1755199094,0.0035941105005303817
